FIPS,State,County,Years of Potential Life Lost Rate (premature death),YPLL Rate (Black),YPLL Rate (Hispanic),YPLL Rate (White),% Fair/Poor Health,percent_smokers,percent_obese,Food Environment Index,% Physically Inactive,percent Excessive Drinking,Number Uninsured,Percent Uninsured,Number Primary Care Physicians,PCP Rate,PCP Ratio,Preventable Hosp stays Rate,Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),Percent Vaccinated Flu,Percent Vaccinated Flu (Black),Percent  Vaccinated (Hispanic) Flu,Percent Vaccinated (White) Flu,High School Graduation Rate,Number Some College,Percent Some College,Number Unemployed,Labor Force,Percent Unemployed,80th Percentile Income,20th Percentile Income,Income Ratio,Average Daily PM2.5,Presence of water violation,Percent Severe Housing Problems,Severe Housing Cost Burden,Overcrowding,Inadequate Facilities,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (Black),Life Expectancy (Hispanic),Life Expectancy (White),Number pre-mature Deaths,Percent Diabetic,Number HIV Cases,HIV Prevalence Rate,Percent Food Insecure,Percent Insufficient Sleep,Percent Uninsured Adults,Percent Uninsured children,Median Household Income,Household income (Black),Household income (Hispanic),Household income (White),Segregation index black/white,Segregation Index non-white/ white,Population,percent < 18,percent 65 and over,percent African American,percent American Indian/Alaskan Native,percent Asian,percent Native Hawaiian/Other Pacific Islander,percent Hispanic,percent Non-Hispanic White,percent Not Proficient in English,percent Female,number Rural
01001,Alabama,Autauga,8824,10471,,8707,18,19,38,7.2,31,17,4002,9,23,42,2409:1,6599,11175,,5909,41,32,36,42,90,8701,61,1001,25909,3.9,105294,22709,4.6,11.7,No,15,13,2,1,76.3,75.6,77.1,74.6,,76.3,815,14,103,226,13,36,11,2,58343,28595,89359,61380,30,27,55504,23.9,15.1,19.3,0.5,1.3,0.1,2.9,74.5,1,51.3,22921
01003,Alabama,Baldwin,7225,10042,3087,7278,18,17,31,8.0,24,17,17733,11,152,73,1372:1,3833,5589,655,3801,45,33,35,46,86,31821,66,3652,91567,4.0,105906,23438,4.5,10.3,Yes,14,13,1,1,78.6,78.2,79.0,75.6,98.0,78.5,2827,11,282,164,12,33,14,3,56607,27504,43012,56266,44,33,212628,21.8,19.9,9.0,0.8,1.2,0.1,4.6,83.0,0,51.5,77060
01005,Alabama,Barbour,9586,11333,,7310,26,22,44,5.6,28,13,2252,13,10,39,2597:1,4736,5431,,4299,37,33,,38,81,2558,37,486,8236,5.9,74459,12938,5.8,11.5,No,15,14,2,1,75.8,74.6,76.9,74.2,,77.6,451,18,97,436,23,39,17,3,32490,22370,26534,44592,27,24,25270,20.8,18.8,47.9,0.7,0.5,0.2,4.2,46.0,1,47.2,18613
01007,Alabama,Bibb,11784,14813,,11328,20,20,38,7.6,35,16,1646,10,13,57,1742:1,5998,7174,,5650,39,28,,41,84,3007,48,373,8506,4.4,88436,20786,4.3,11.2,No,11,11,0,0,73.9,72.6,75.2,72.3,,74.1,445,15,37,192,16,38,12,3,45795,33531,42813,47444,39,38,22668,20.6,16.0,21.5,0.4,0.2,0.1,2.6,74.3,0,46.5,15663
01009,Alabama,Blount,10908,,5620,11336,21,20,34,8.5,29,15,5704,12,13,23,4439:1,4162,,,,38,19,24,39,93,7526,54,985,24494,4.0,86549,20972,4.1,11.7,No,10,8,2,1,74.6,73.8,75.4,,78.6,74.1,1050,14,46,95,11,36,16,3,48253,34688,33016,49369,46,21,58013,23.3,17.8,1.5,0.6,0.3,0.1,9.6,86.9,2,50.7,51562
01011,Alabama,Bullock,12067,14337,,6639,29,23,39,4.2,29,13,937,13,3,29,3454:1,6767,7006,,5922,26,23,,32,70,936,34,237,4812,4.9,66477,10073,6.6,11.2,No,21,17,2,2,73.1,71.2,75.1,71.2,,77.6,205,20,61,691,26,45,18,3,29113,24319,,56875,21,20,10309,20.7,15.8,69.2,0.8,0.2,0.8,8.2,21.3,1,45.5,5607
01013,Alabama,Butler,14019,15794,,12798,27,22,40,6.5,35,13,1703,11,6,30,3333:1,7962,8603,,7843,35,27,,38,82,1873,38,491,8946,5.5,75474,14733,5.1,10.6,No,14,11,2,2,73.5,72.0,75.0,72.2,,74.4,393,18,45,268,22,42,14,2,36842,25292,20125,44942,35,34,19825,22.7,19.6,44.6,0.4,1.0,0.1,1.4,51.6,1,53.4,14921
01015,Alabama,Calhoun,12218,12955,,12447,20,20,37,6.9,30,15,10386,11,74,65,1549:1,6450,7384,2299,6318,38,26,25,40,92,16636,58,2249,45582,4.9,86828,17422,5.0,11.8,No,15,13,1,1,73.1,72.6,73.6,72.4,105.6,72.9,2333,16,206,211,17,41,14,2,45937,28212,33698,49415,47,41,114728,21.8,17.3,20.8,0.5,1.0,0.1,3.7,72.3,1,51.9,39955
01017,Alabama,Chambers,11273,10775,,11795,25,22,40,6.3,32,14,2876,11,17,50,1991:1,5511,7357,,4883,43,31,,48,86,3692,47,619,15176,4.1,77368,16325,4.7,11.4,No,16,13,3,1,74.1,73.1,75.1,74.4,,73.8,691,17,106,367,20,37,14,2,36883,30919,25084,45689,27,26,33713,21.1,19.1,39.5,0.3,1.2,0.0,2.4,55.5,0,52.1,16816
01019,Alabama,Cherokee,11294,16395,,10966,19,19,36,8.5,32,15,2366,12,9,35,2858:1,6577,1078,,6457,43,32,,43,95,2755,50,453,11174,4.1,80875,16898,4.8,11.4,No,15,13,2,1,74.3,73.2,75.5,,,,575,14,20,90,13,35,15,3,44842,36628,,40672,36,34,25857,19.7,22.6,4.2,0.6,0.3,0.0,1.6,91.7,0,50.3,22282
