Location,all_causes_2020,all_causes_2021,all_causes_2022,covid_2020,covid_2021,covid_2022,Covid_pop_perce_2020,Covid_pop_perce_2021,Covid_pop_perce_2022
Alabama,9021,13018,6246,6337,9771,3933,0.0012612754984347007,0.0019447566506557458,0.0007827988851733752
Alaska,545,1429,686,213,804,275,0.0002904317069612253,0.0010962774290930758,0.0003749705136823332
Arizona,13186,17961,8835,8603,13536,5849,0.0012029640766373273,0.0018927492434456425,0.0008178701481171368
Arkansas,4992,6908,3854,3691,5333,2593,0.0012256252980218654,0.0017708641870361982,0.0008610258460500398
California,41279,60680,36786,29962,48834,21158,0.0007577983461725126,0.001235108618816784,0.0005351277420839071
Colorado,6426,7431,5482,4734,5671,3267,0.0008199228434245271,0.0009822100644403238,0.0005658402892834664
Connecticut,6015,2575,2599,5466,2144,2085,0.0015158305287048274,0.0005945738480686334,0.000578211974451073
Delaware,1338,1497,1124,924,1058,711,0.0009333823594774675,0.0010687430046830743,0.0007182195428446747
District of Columbia,1171,761,357,849,524,287,0.0012312466916589925,0.0007599213974432416,0.00041621649058437083
Florida,26556,46443,20010,20577,37908,15418,0.0009553728918780396,0.001760036719896619,0.0007158448387508197
Georgia,14975,23784,12779,9981,17305,7209,0.0009317667776833035,0.0016154918432831947,0.0006729893497965069
Hawaii,414,969,1099,231,584,516,0.00015873332183490222,0.000401299826630229,0.000354573134488353
Idaho,1849,3388,1862,1374,2496,978,0.0007471021246192443,0.0013571811521467495,0.0005317801149036542
Illinois,20976,13228,12417,16101,10422,8420,0.0012566626299862604,0.0008134238823499662,0.0006571703213765799
Indiana,10890,10627,6618,9044,8744,5339,0.0013328365898718567,0.0012886248498274564,0.0007868216003235121
Iowa,4774,2888,2401,4130,2390,1850,0.0012945211039851502,0.0007491296461318424,0.0005798702281773675
Kansas,4044,3737,3200,3185,3212,2268,0.0010841150761773796,0.0010933053766661674,0.000771985241058178
Kentucky,5977,10033,6307,4217,8046,5102,0.0009358973562286776,0.0017856841660459902,0.0011323092984298585
Louisiana,9739,10065,4467,6849,7042,2800,0.0014704502617890972,0.0015118865153334535,0.0006011477198144944
Maine,699,1849,1608,328,1200,949,0.00024075886018296206,0.000880825098230349,0.0006965858485171677
Maryland,7822,5131,2918,6240,4743,2767,0.001010162493702673,0.0007678206262230413,0.0004479358365505282
Massachusetts,9008,3922,4553,8171,3580,3670,0.0011623181326322913,0.0005092521007004777,0.0005220545278130595
Michigan,16570,15656,8809,11721,13114,7234,0.0011631055881760756,0.0013013366336781039,0.0007178488034182861
Minnesota,5947,4652,3419,5166,3891,2713,0.0009052844005443622,0.0006818547430348652,0.0004754232633907965
Mississippi,6993,8126,4510,4940,5871,3063,0.0016681980995373958,0.001982589279834828,0.0010343503600977822
Missouri,10049,9365,6147,7616,8059,4630,0.0012373854837590718,0.0013093605059892805,0.0007522445889974399
Montana,1609,2351,1168,1138,1659,640,0.0010495976388664714,0.0015301252046392585,0.0005902833821393161
Nebraska,2495,1733,1436,1965,1447,1010,0.001001782305822471,0.0007376992348728323,0.0005149110070639672
Nevada,4019,6241,3229,3069,5281,2431,0.0009885286866579872,0.001701016615914249,0.0007830280994674378
New Hampshire,878,972,1202,615,812,658,0.0004464515810556438,0.0005894612744994842,0.00047766689485303034
New Jersey,19883,7487,5937,16145,7182,5188,0.0017380784183949306,0.0007731730691181413,0.000558510426425079
New Mexico,3814,4888,2863,2697,3495,1959,0.0012736585499465885,0.0016505141386960796,0.0009251379678699914
New York,17868,13819,9431,14561,12087,7649,0.0007207970160656898,0.0005983293409234251,0.0003786399543909389
North Carolina,11066,18745,12024,8111,14750,7880,0.0007769612548168532,0.0014129180752741443,0.0007548335208922209
North Dakota,1550,757,419,1266,666,282,0.0016249643817049034,0.0008548390823186932,0.00036195889071151876
Ohio,16808,19739,10595,13843,17607,9250,0.0011731904746730526,0.001492188448137574,0.000783934977297243
Oklahoma,5937,8708,5960,4631,7302,4319,0.0011696355439891316,0.0018442407130659984,0.001090834790431669
Oregon,2809,6833,6013,1445,4150,2729,0.0003410225863152946,0.0009794074278259327,0.0006440488844667398
Pennsylvania,18904,19462,11542,16732,17519,9572,0.0012868096626085352,0.0013473355533850661,0.0007361547986187484
Puerto Rico,2641,3062,4615,1406,1592,2301,0.0004278922441943909,0.0004844981883054554,0.000700270308599782
Rhode Island,1663,987,546,1458,793,453,0.0013286202852432934,0.0007226309233181972,0.00041280177586777223
South Carolina,8707,11821,6457,5408,9353,4226,0.001056575020636231,0.0018273199275167654,0.0008256446074720251
South Dakota,1762,846,616,1499,715,459,0.0016906008681951622,0.0008063906742892202,0.000517668978319933
Tennessee,10623,16291,8144,7280,13267,6511,0.0010534175295622528,0.001919737687459122,0.0009421430679917347
Texas,42097,57957,28393,32042,48776,18564,0.001099380504815408,0.0016735342208000856,0.0006369421288119728
Utah,2361,3342,1946,1493,2405,1173,0.000456349400418631,0.0007351107220407285,0.0003585384103757898
Vermont,520,1029,993,110,238,378,0.00017105261111810872,0.0003700956495100898,0.000587798972751319
Virginia,8020,12469,8594,5653,9199,5617,0.0006549348407609293,0.0010657607642242683,0.0006507640192029259
Washington,3992,8555,7607,3026,5513,3881,0.0003927176698682371,0.0007154833159231961,0.0005036805276796524
West Virginia,2425,5245,3208,1357,3844,2212,0.0007565300192449641,0.002143037136313664,0.0012331941065363747
Wisconsin,7737,5765,4390,5920,4718,3369,0.0010044593243178585,0.0008005133601573744,0.0005716255850721055
Wyoming,919,1203,514,408,874,280,0.0007072883638929291,0.0015151226226529902,0.00048539397522063757
