Location,Current President,Your State Governor,Go to work,Go to the gym,Go visit a friend,"Go to a cafe, bar, or restaurant",Go to a doctor or visit a hospital,Go to church or another place of worship,"Take mass transit (e.g. subway, bus or train)",Avoiding contact with other people,Avoiding public or crowded places,Frequently washing hands,Wearing a face mask when outside of your home,"Been in a room with someone outside of 
 household in the past 24 hours","Yes, 5-10 people","Yes, 11-50 people","Yes, 50 or more people"
United States,43.09893334,65.08360839,25.71,1.36,8.31,5.78,5.54,1.29,1.82,68.77,75.23,80.36,55.96,26.27,5.17,1.42,0.83
Alaska,56.06077532,64.20880987,28.26,3.44,16.69,1.18,4.28,5.07,0.0,51.31,71.37,76.71,46.17,44.03,5.44,1.39,0.0
Alabama,54.37112424,58.90323234,26.31,2.61,11.48,8.44,6.96,3.23,0.42,67.99,76.28,80.84,51.94,30.52,6.7,1.22,1.0
Arkansas,53.71665448,65.26068462,29.37,0.72,11.52,5.41,5.81,2.08,0.11,58.48,68.32,80.59,44.19,30.78,7.73,1.49,1.0
Arizona,43.07990383,57.21766551,32.02,1.48,6.21,6.0,6.81,1.69,2.76,65.18,71.42,79.7,49.7,33.24,8.51,1.14,2.89
California,35.63446523,72.00748615,25.46,1.83,6.79,8.18,7.48,0.77,1.98,75.91,78.55,80.42,72.73,20.95,3.63,1.23,1.18
Colorado,42.54302587,65.00781333,23.76,0.11,6.14,5.54,4.06,0.57,1.11,64.23,71.81,72.36,55.87,24.53,4.36,2.43,0.63
Connecticut,34.98302227,65.86341158,22.59,1.03,5.82,3.91,6.34,1.12,0.59,75.51,80.05,80.98,63.79,21.64,3.0,0.0,1.95
Delaware,37.65880073,69.64804366,20.87,0.25,9.19,4.16,7.08,0.26,1.93,71.74,78.93,80.19,62.67,26.99,5.65,0.8,0.46
Florida,44.21308264,50.42927933,20.56,2.38,6.52,5.36,5.4,2.16,2.84,74.35,77.23,82.06,62.03,20.63,4.03,0.71,0.38
Georgia,45.73159285,53.05338613,26.13,1.61,10.16,6.98,5.9,0.74,1.95,68.43,74.87,80.63,56.09,24.45,6.15,1.07,1.49
Hawaii,32.42392505,39.73172224,32.24,0.0,9.02,3.94,6.61,0.76,2.02,66.93,77.33,84.48,72.97,24.95,7.0,2.46,0.79
Iowa,44.40731976,53.0179294,31.21,1.28,7.8,3.86,6.71,0.86,0.68,59.68,69.0,74.2,35.61,31.56,6.08,1.04,1.05
Idaho,52.36569966,64.50554521,32.86,1.2,12.32,6.43,7.32,1.3,1.64,54.46,66.59,74.45,30.09,31.51,4.94,2.72,0.81
Illinois,36.43386614,63.36883173,24.87,2.18,7.1,5.67,2.99,1.28,2.07,65.83,73.38,81.17,52.97,21.41,4.54,1.66,0.53
