Location,Mask_Mandate,Mandatory
Alabama,07/16/2020,Yes
Alaska,,No
Arizona,,No
Arkansas,07/20/2020,Yes
California,07/18/2020,Yes
Colorado,07/17/2020,Yes
Connecticut,04/17/2020,Yes
Delaware,09/16/2020,Yes
District of Columbia,07/22/2020,Yes
Florida,,No
Georgia,,No
Hawaii,03/16/2020,Yes
Idaho,,No
Illinois,6/26/2020,Yes
Indiana,07/27/2020,Yes
Iowa,11/17/2020,Yes
Kansas,07/02/2020,Yes
Kentucky,07/09/2020,Yes
Louisiana,07/11/2020,Yes
Maine,05/01/2020,Yes
Maryland,07/31/2020,Yes
Massachusetts,05/06/2020,Yes
Michigan,10/05/2020,Yes
Minnesota,07/25/2020,Yes
Mississippi,,No
Missouri,,No
Montana,07/15/2020,Yes
Nebraska,,No
Nevada,06/24/2020,Yes
New Hampshire,11/20/2020,Yes
New Jersey,07-08-2020,Yes
New Mexico,05/16/2020,Yes
New York,04/17/2020,Yes
North Carolina,06/24/2020,Yes
North Dakota,11/14/2020,Yes
Ohio,07/23/2020,Yes
Oklahoma,,No
Oregon,07/01/2020,Yes
Pennsylvania,07/01/2020,Yes
Rhode Island,05-08-2020,Yes
South Carolina,,No
South Dakota,,No
Tennessee,,No
Texas,07/03/2020,Yes
Utah,11/09/2020,Yes
Vermont,08/01/2020,Yes
Virginia,05/26/2020,Yes
Washington,06/26/2020,Yes
West Virginia,06/06/2020,Yes
Wisconsin,08/01/2020,Yes
Wyoming,,No
Puerto Rico,,No
