FIPS_x,Years of Potential Life Lost Rate (premature death),% Fair/Poor Health,percent_smokers,percent_obese,Food Environment Index,% Physically Inactive,percent Excessive Drinking,PCP Rate,Preventable Hosp stays Rate,Percent Vaccinated Flu,High School Graduation Rate,Percent Some College,Percent Unemployed,Income Ratio,Average Daily PM2.5,Percent Severe Housing Problems,Severe Housing Cost Burden,Overcrowding,Inadequate Facilities,Life Expectancy,Percent Diabetic,HIV Prevalence Rate,Percent Food Insecure,Percent Insufficient Sleep,Percent Uninsured Adults,Percent Uninsured children,Median Household Income,Segregation index black/white,Segregation Index non-white/ white,Population,percent < 18,percent 65 and over,percent African American,percent American Indian/Alaskan Native,percent Asian,percent Native Hawaiian/Other Pacific Islander,percent Hispanic,percent Non-Hispanic White,percent Not Proficient in English,percent Female,number Rural,Masks,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_65PlusPop_Pct,water,cases,deaths
1001,8824.0,18,19,38,7.2,31,17,42.0,6599.0,41.0,90.0,61,3.9,4.6,11.7,15,13,2,1,76.3,14,226.0,13,36,11.0,2.0,58343.0,30.0,27.0,55504,23.9,15.1,19.3,0.5,1.3,0.1,2.9,74.5,1,51.3,22921.0,267.0,42.2,73.8,0,18961.0,230.0
1003,7225.0,18,17,31,8.0,24,17,73.0,3833.0,45.0,86.0,66,4.0,4.5,10.3,14,13,1,1,78.6,11,164.0,12,33,14.0,3.0,56607.0,44.0,33.0,212628,21.8,19.9,9.0,0.8,1.2,0.1,4.6,83.0,0,51.5,77060.0,267.0,53.2,89.9,1,67496.0,719.0
1005,9586.0,26,22,44,5.6,28,13,39.0,4736.0,37.0,81.0,37,5.9,5.8,11.5,15,14,2,1,75.8,18,436.0,23,39,17.0,3.0,32490.0,27.0,24.0,25270,20.8,18.8,47.9,0.7,0.5,0.2,4.2,46.0,1,47.2,18613.0,267.0,44.5,75.3,0,7027.0,103.0
1007,11784.0,20,20,38,7.6,35,16,57.0,5998.0,39.0,84.0,48,4.4,4.3,11.2,11,11,0,0,73.9,15,192.0,16,38,12.0,3.0,45795.0,39.0,38.0,22668,20.6,16.0,21.5,0.4,0.2,0.1,2.6,74.3,0,46.5,15663.0,267.0,36.6,64.2,0,7692.0,108.0
1009,10908.0,21,20,34,8.5,29,15,23.0,4162.0,38.0,93.0,54,4.0,4.1,11.7,10,8,2,1,74.6,14,95.0,11,36,16.0,3.0,48253.0,46.0,21.0,58013,23.3,17.8,1.5,0.6,0.3,0.1,9.6,86.9,2,50.7,51562.0,267.0,31.9,56.6,0,17731.0,260.0
1011,12067.0,29,23,39,4.2,29,13,29.0,6767.0,26.0,70.0,34,4.9,6.6,11.2,21,17,2,2,73.1,20,691.0,26,45,18.0,3.0,29113.0,21.0,20.0,10309,20.7,15.8,69.2,0.8,0.2,0.8,8.2,21.3,1,45.5,5607.0,267.0,52.2,84.5,0,2886.0,54.0
1013,14019.0,27,22,40,6.5,35,13,30.0,7962.0,35.0,82.0,38,5.5,5.1,10.6,14,11,2,2,73.5,18,268.0,22,42,14.0,2.0,36842.0,35.0,34.0,19825,22.7,19.6,44.6,0.4,1.0,0.1,1.4,51.6,1,53.4,14921.0,267.0,42.9,72.8,0,6185.0,130.0
1015,12218.0,20,20,37,6.9,30,15,65.0,6450.0,38.0,92.0,58,4.9,5.0,11.8,15,13,1,1,73.1,16,211.0,17,41,14.0,2.0,45937.0,47.0,41.0,114728,21.8,17.3,20.8,0.5,1.0,0.1,3.7,72.3,1,51.9,39955.0,267.0,47.6,84.5,0,39458.0,665.0
1017,11273.0,25,22,40,6.3,32,14,50.0,5511.0,43.0,86.0,47,4.1,4.7,11.4,16,13,3,1,74.1,17,367.0,20,37,14.0,2.0,36883.0,27.0,26.0,33713,21.1,19.1,39.5,0.3,1.2,0.0,2.4,55.5,0,52.1,16816.0,267.0,31.8,54.7,0,10311.0,170.0
1019,11294.0,19,19,36,8.5,32,15,35.0,6577.0,43.0,95.0,50,4.1,4.8,11.4,15,13,2,1,74.3,14,90.0,13,35,15.0,3.0,44842.0,36.0,34.0,25857,19.7,22.6,4.2,0.6,0.3,0.0,1.6,91.7,0,50.3,22282.0,267.0,32.3,57.3,0,6456.0,89.0
