FIPS,Recip_County,Recip_State,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_65PlusPop_Pct
2013,Aleutians East Borough,AK,74.1,47.3
2016,Aleutians West Census Area,AK,64.9,65.2
2020,Anchorage Municipality,AK,60.7,92.3
2050,Bethel Census Area,AK,60.4,87.2
2060,Bristol Bay Borough,AK,99.9,90.4
2068,Denali Borough,AK,52.1,78.6
2070,Dillingham Census Area,AK,46.4,71.7
2090,Fairbanks North Star Borough,AK,52.3,77.6
2100,Haines Borough,AK,64.3,83.0
2105,Hoonah-Angoon Census Area,AK,68.2,82.9
2110,Juneau City and Borough,AK,69.9,97.9
2122,Kenai Peninsula Borough,AK,44.0,75.5
2130,Ketchikan Gateway Borough,AK,60.6,83.8
2150,Kodiak Island Borough,AK,60.4,94.0
2158,Kusilvak Census Area,AK,60.4,92.7
2164,Lake and Peninsula Borough,AK,56.7,74.9
2170,Matanuska-Susitna Borough,AK,35.4,67.4
2180,Nome Census Area,AK,62.8,92.3
2185,North Slope Borough,AK,35.2,62.8
2188,Northwest Arctic Borough,AK,52.8,86.0
2195,Petersburg Census Area,AK,68.9,91.9
2198,Prince of Wales-Hyder Census Area,AK,52.8,75.7
2220,Sitka City and Borough,AK,70.2,0.0
2230,Skagway Municipality,AK,69.5,80.7
2240,Southeast Fairbanks Census Area,AK,30.9,63.7
UNK,Unknown County,AK,0.0,0.0
2261,Valdez-Cordova Census Area,AK,54.4,77.2
2275,Wrangell City and Borough,AK,52.8,66.9
2282,Yakutat City and Borough,AK,70.8,78.7
2290,Yukon-Koyukuk Census Area,AK,64.1,86.0
1001,Autauga County,AL,42.2,73.8
1003,Baldwin County,AL,53.2,89.9
1005,Barbour County,AL,44.5,75.3
1007,Bibb County,AL,36.6,64.2
1009,Blount County,AL,31.9,56.6
1011,Bullock County,AL,52.2,84.5
1013,Butler County,AL,42.9,72.8
1015,Calhoun County,AL,47.6,84.5
1017,Chambers County,AL,31.8,54.7
1019,Cherokee County,AL,32.3,57.3
1021,Chilton County,AL,37.0,69.9
1023,Choctaw County,AL,69.1,99.9
1025,Clarke County,AL,54.9,86.7
1027,Clay County,AL,44.3,75.0
1029,Cleburne County,AL,31.9,61.1
1031,Coffee County,AL,39.6,77.0
1033,Colbert County,AL,49.4,82.5
1035,Conecuh County,AL,47.9,76.0
1037,Coosa County,AL,41.3,68.8
1039,Covington County,AL,40.4,72.8
1041,Crenshaw County,AL,36.0,70.1
1043,Cullman County,AL,39.3,73.3
1045,Dale County,AL,51.6,79.0
1047,Dallas County,AL,48.3,82.6
1049,DeKalb County,AL,34.6,64.5
1051,Elmore County,AL,46.1,89.6
1053,Escambia County,AL,39.7,84.0
1055,Etowah County,AL,42.4,75.1
1057,Fayette County,AL,34.7,63.8
1059,Franklin County,AL,45.9,86.2
1061,Geneva County,AL,39.2,76.5
1063,Greene County,AL,53.6,83.4
1065,Hale County,AL,61.6,88.2
1067,Henry County,AL,46.3,76.7
1069,Houston County,AL,43.5,78.2
1071,Jackson County,AL,49.8,89.9
1073,Jefferson County,AL,59.8,93.8
1075,Lamar County,AL,43.1,79.0
1077,Lauderdale County,AL,49.4,82.1
1079,Lawrence County,AL,47.6,88.7
1081,Lee County,AL,38.7,68.1
1083,Limestone County,AL,35.8,69.7
1085,Lowndes County,AL,53.3,87.3
1087,Macon County,AL,49.9,79.0
1089,Madison County,AL,60.9,92.6
1091,Marengo County,AL,58.3,88.7
1093,Marion County,AL,37.0,65.8
1095,Marshall County,AL,46.4,85.3
1097,Mobile County,AL,49.8,83.8
1099,Monroe County,AL,47.4,76.1
1101,Montgomery County,AL,54.8,87.8
1103,Morgan County,AL,43.6,80.4
1105,Perry County,AL,49.7,78.5
1107,Pickens County,AL,50.8,81.9
1109,Pike County,AL,42.5,86.0
1111,Randolph County,AL,34.2,65.9
1113,Russell County,AL,40.4,81.7
1117,Shelby County,AL,37.8,55.3
1115,St. Clair County,AL,40.2,73.5
1119,Sumter County,AL,55.6,90.7
1121,Talladega County,AL,38.2,68.6
1123,Tallapoosa County,AL,39.7,69.2
1125,Tuscaloosa County,AL,44.2,79.8
UNK,Unknown County,AL,0.0,0.0
1127,Walker County,AL,48.7,87.3
1129,Washington County,AL,48.5,86.0
1131,Wilcox County,AL,57.5,92.0
1133,Winston County,AL,23.0,43.7
5001,Arkansas County,AR,56.3,80.4
5003,Ashley County,AR,49.3,79.6
5005,Baxter County,AR,47.7,72.4
5007,Benton County,AR,51.5,76.5
5009,Boone County,AR,37.8,67.2
5011,Bradley County,AR,57.3,87.0
5013,Calhoun County,AR,35.6,55.8
5015,Carroll County,AR,45.1,63.0
5017,Chicot County,AR,55.4,89.4
5019,Clark County,AR,49.2,86.2
5021,Clay County,AR,44.8,75.8
5023,Cleburne County,AR,44.1,71.9
5025,Cleveland County,AR,52.7,73.8
5027,Columbia County,AR,47.9,76.3
5029,Conway County,AR,52.9,79.3
5031,Craighead County,AR,44.4,72.9
5033,Crawford County,AR,45.3,74.3
5035,Crittenden County,AR,43.2,67.2
5037,Cross County,AR,51.5,78.6
5039,Dallas County,AR,56.3,76.7
5041,Desha County,AR,60.3,91.4
5043,Drew County,AR,48.5,72.5
5045,Faulkner County,AR,48.0,82.9
5047,Franklin County,AR,48.0,73.6
5049,Fulton County,AR,32.2,46.1
5051,Garland County,AR,46.5,76.5
5053,Grant County,AR,46.0,71.6
5055,Greene County,AR,42.8,72.3
5057,Hempstead County,AR,35.1,52.8
5059,Hot Spring County,AR,42.6,68.9
5061,Howard County,AR,52.4,80.7
5063,Independence County,AR,40.1,66.9
5065,Izard County,AR,37.8,53.2
5067,Jackson County,AR,38.0,71.0
5069,Jefferson County,AR,45.7,71.7
5071,Johnson County,AR,49.1,74.2
5073,Lafayette County,AR,38.8,56.3
5075,Lawrence County,AR,46.2,78.5
5077,Lee County,AR,34.3,66.5
5079,Lincoln County,AR,35.4,68.4
5081,Little River County,AR,30.5,56.9
5083,Logan County,AR,46.1,74.6
5085,Lonoke County,AR,47.4,83.7
5087,Madison County,AR,42.8,69.2
5089,Marion County,AR,36.6,57.3
5091,Miller County,AR,15.6,30.2
5093,Mississippi County,AR,39.9,73.8
5095,Monroe County,AR,57.8,77.7
5097,Montgomery County,AR,37.3,62.4
5099,Nevada County,AR,44.7,66.3
5101,Newton County,AR,35.0,58.1
5103,Ouachita County,AR,53.3,79.9
5105,Perry County,AR,52.1,80.3
5107,Phillips County,AR,49.0,77.9
5109,Pike County,AR,45.1,81.2
5111,Poinsett County,AR,45.5,73.0
5113,Polk County,AR,36.2,55.5
5115,Pope County,AR,48.9,78.2
5117,Prairie County,AR,45.4,63.7
5119,Pulaski County,AR,56.4,82.0
5121,Randolph County,AR,41.5,70.3
5125,Saline County,AR,48.9,64.7
5127,Scott County,AR,46.7,67.3
5129,Searcy County,AR,39.6,64.2
5131,Sebastian County,AR,48.8,71.6
5133,Sevier County,AR,41.3,69.2
5135,Sharp County,AR,39.9,62.3
5123,St. Francis County,AR,49.1,81.4
5137,Stone County,AR,36.5,57.1
5139,Union County,AR,50.7,83.2
UNK,Unknown County,AR,0.0,0.0
5141,Van Buren County,AR,42.2,67.9
5143,Washington County,AR,54.5,84.4
5145,White County,AR,45.3,79.7
5147,Woodruff County,AR,57.1,82.9
5149,Yell County,AR,46.5,64.4
UNK,Unknown County,AS,0.0,0.0
4001,Apache County,AZ,80.5,97.5
4003,Cochise County,AZ,60.0,80.9
4005,Coconino County,AZ,75.4,99.9
4007,Gila County,AZ,58.5,76.1
4009,Graham County,AZ,59.3,99.9
4011,Greenlee County,AZ,41.1,73.1
4012,La Paz County,AZ,47.2,59.3
4013,Maricopa County,AZ,55.0,87.6
4015,Mohave County,AZ,42.3,66.5
4017,Navajo County,AZ,69.2,95.6
4019,Pima County,AZ,65.1,95.4
4021,Pinal County,AZ,50.3,78.9
4023,Santa Cruz County,AZ,97.1,99.9
UNK,Unknown County,AZ,0.0,0.0
4025,Yavapai County,AZ,48.5,74.1
4027,Yuma County,AZ,64.3,78.5
6001,Alameda County,CA,76.7,96.4
6003,Alpine County,CA,0.0,0.0
6005,Amador County,CA,62.6,97.1
6007,Butte County,CA,51.0,82.4
6009,Calaveras County,CA,60.3,88.1
6011,Colusa County,CA,56.6,85.9
6013,Contra Costa County,CA,73.9,97.3
6015,Del Norte County,CA,41.1,73.9
6017,El Dorado County,CA,59.9,85.2
6019,Fresno County,CA,57.3,96.4
6021,Glenn County,CA,51.3,91.3
6023,Humboldt County,CA,62.9,90.0
6025,Imperial County,CA,79.7,94.3
6027,Inyo County,CA,0.0,0.0
6029,Kern County,CA,48.6,83.8
6031,Kings County,CA,43.8,79.0
6033,Lake County,CA,57.1,81.9
6035,Lassen County,CA,34.1,76.5
6037,Los Angeles County,CA,67.7,88.2
6039,Madera County,CA,50.9,90.2
6041,Marin County,CA,84.0,95.7
6043,Mariposa County,CA,0.0,0.0
6045,Mendocino County,CA,66.0,88.1
6047,Merced County,CA,50.5,89.3
6049,Modoc County,CA,0.0,0.0
6051,Mono County,CA,0.0,0.0
6053,Monterey County,CA,67.0,90.0
6055,Napa County,CA,75.5,94.2
6057,Nevada County,CA,61.7,79.2
6059,Orange County,CA,68.5,93.1
6061,Placer County,CA,62.7,92.1
6063,Plumas County,CA,0.0,0.0
6065,Riverside County,CA,55.3,87.4
6067,Sacramento County,CA,62.0,91.5
6069,San Benito County,CA,60.5,83.6
6071,San Bernardino County,CA,53.4,85.9
6073,San Diego County,CA,97.2,99.9
6075,San Francisco County,CA,81.4,92.1
6077,San Joaquin County,CA,62.7,99.9
6079,San Luis Obispo County,CA,58.9,82.5
6081,San Mateo County,CA,79.4,95.6
6083,Santa Barbara County,CA,67.2,95.3
6085,Santa Clara County,CA,80.3,98.3
6087,Santa Cruz County,CA,75.6,99.9
6089,Shasta County,CA,48.8,83.5
6091,Sierra County,CA,0.0,0.0
6093,Siskiyou County,CA,52.3,81.8
6095,Solano County,CA,66.9,91.8
6097,Sonoma County,CA,74.8,94.0
6099,Stanislaus County,CA,62.8,99.9
6101,Sutter County,CA,56.7,90.2
6103,Tehama County,CA,39.0,65.5
6105,Trinity County,CA,0.0,0.0
6107,Tulare County,CA,48.7,82.7
6109,Tuolumne County,CA,60.2,93.6
UNK,Unknown County,CA,0.0,0.0
6111,Ventura County,CA,68.6,95.4
6113,Yolo County,CA,65.9,99.8
6115,Yuba County,CA,49.4,82.8
8001,Adams County,CO,61.0,88.6
8003,Alamosa County,CO,52.2,92.5
8005,Arapahoe County,CO,61.0,86.6
8007,Archuleta County,CO,55.1,80.8
8009,Baca County,CO,36.3,61.6
8011,Bent County,CO,23.1,37.7
8013,Boulder County,CO,72.6,95.3
8014,Broomfield County,CO,73.6,98.9
8015,Chaffee County,CO,60.5,85.2
8017,Cheyenne County,CO,29.7,56.1
8019,Clear Creek County,CO,46.1,63.9
8021,Conejos County,CO,44.2,75.8
8023,Costilla County,CO,53.6,0.0
8025,Crowley County,CO,19.6,51.5
8027,Custer County,CO,44.9,71.1
8029,Delta County,CO,45.1,77.6
8031,Denver County,CO,69.8,85.1
8033,Dolores County,CO,39.7,59.7
8035,Douglas County,CO,66.7,96.7
8037,Eagle County,CO,77.1,92.7
8041,El Paso County,CO,58.1,88.4
8039,Elbert County,CO,34.0,56.3
8043,Fremont County,CO,41.0,74.7
8045,Garfield County,CO,59.7,87.0
8047,Gilpin County,CO,56.2,80.6
8049,Grand County,CO,61.8,77.8
8051,Gunnison County,CO,65.9,94.4
8053,Hinsdale County,CO,54.8,0.0
8055,Huerfano County,CO,50.1,73.8
8057,Jackson County,CO,40.2,0.0
8059,Jefferson County,CO,72.3,97.4
8061,Kiowa County,CO,34.3,67.6
8063,Kit Carson County,CO,35.4,69.8
8067,La Plata County,CO,67.2,93.3
8065,Lake County,CO,58.3,72.3
8069,Larimer County,CO,63.4,91.9
8071,Las Animas County,CO,56.9,0.0
8073,Lincoln County,CO,32.4,60.6
8075,Logan County,CO,33.8,65.6
8077,Mesa County,CO,46.5,82.8
8079,Mineral County,CO,72.2,0.0
8081,Moffat County,CO,39.6,70.5
8083,Montezuma County,CO,60.3,81.8
8085,Montrose County,CO,45.3,76.2
8087,Morgan County,CO,43.4,74.6
8089,Otero County,CO,43.3,71.9
8091,Ouray County,CO,62.4,77.6
8093,Park County,CO,44.6,63.1
8095,Phillips County,CO,49.9,76.9
8097,Pitkin County,CO,86.8,85.8
8099,Prowers County,CO,39.1,69.7
8101,Pueblo County,CO,51.5,84.5
8103,Rio Blanco County,CO,37.3,79.7
8105,Rio Grande County,CO,57.9,92.2
8107,Routt County,CO,72.3,92.9
8109,Saguache County,CO,32.3,47.2
8111,San Juan County,CO,93.4,85.6
8113,San Miguel County,CO,80.6,79.4
8115,Sedgwick County,CO,48.2,85.6
8117,Summit County,CO,82.3,85.9
8119,Teller County,CO,49.9,78.6
UNK,Unknown County,CO,0.0,0.0
8121,Washington County,CO,28.5,54.2
8123,Weld County,CO,54.8,92.3
8125,Yuma County,CO,40.5,71.6
9001,Fairfield County,CT,78.6,98.0
9003,Hartford County,CT,71.7,98.4
9005,Litchfield County,CT,73.0,94.5
9007,Middlesex County,CT,80.0,99.9
9009,New Haven County,CT,73.7,95.7
9011,New London County,CT,74.3,99.9
9013,Tolland County,CT,63.4,97.2
UNK,Unknown County,CT,0.0,0.0
9015,Windham County,CT,60.3,93.0
11001,District of Columbia,DC,66.7,89.3
UNK,Unknown County,DC,0.0,0.0
10001,Kent County,DE,51.3,83.7
10003,New Castle County,DE,65.9,94.6
10005,Sussex County,DE,65.3,97.2
UNK,Unknown County,DE,0.0,0.0
12001,Alachua County,FL,64.8,99.9
12003,Baker County,FL,37.0,75.8
12005,Bay County,FL,50.0,80.4
12007,Bradford County,FL,43.9,74.0
12009,Brevard County,FL,63.5,92.2
12011,Broward County,FL,71.5,99.4
12013,Calhoun County,FL,36.2,74.2
12015,Charlotte County,FL,69.5,95.9
12017,Citrus County,FL,56.6,85.4
12019,Clay County,FL,49.2,86.1
12021,Collier County,FL,70.5,99.2
12023,Columbia County,FL,42.2,75.7
12027,DeSoto County,FL,48.0,79.9
12029,Dixie County,FL,38.9,72.5
12031,Duval County,FL,59.2,98.1
12033,Escambia County,FL,52.9,93.6
12035,Flagler County,FL,63.1,90.8
12037,Franklin County,FL,47.8,88.0
12039,Gadsden County,FL,57.3,89.9
12041,Gilchrist County,FL,37.4,69.7
12043,Glades County,FL,32.7,44.2
12045,Gulf County,FL,51.4,80.6
12047,Hamilton County,FL,36.3,72.8
12049,Hardee County,FL,39.8,72.7
12051,Hendry County,FL,47.5,88.2
12053,Hernando County,FL,53.3,83.1
12055,Highlands County,FL,55.8,84.6
12057,Hillsborough County,FL,61.1,99.0
12059,Holmes County,FL,31.0,65.5
12061,Indian River County,FL,70.3,99.9
12063,Jackson County,FL,43.6,79.3
12065,Jefferson County,FL,64.3,99.9
12067,Lafayette County,FL,40.1,97.5
12069,Lake County,FL,65.4,99.9
12071,Lee County,FL,61.9,93.4
12073,Leon County,FL,56.2,97.4
12075,Levy County,FL,47.7,83.1
12077,Liberty County,FL,35.7,73.6
12079,Madison County,FL,45.4,79.9
12081,Manatee County,FL,61.0,89.6
12083,Marion County,FL,55.7,84.2
12085,Martin County,FL,65.1,94.7
12086,Miami-Dade County,FL,85.4,99.9
12087,Monroe County,FL,79.2,99.9
12089,Nassau County,FL,56.6,94.5
12091,Okaloosa County,FL,56.6,95.5
12093,Okeechobee County,FL,45.8,92.4
12095,Orange County,FL,67.7,97.4
12097,Osceola County,FL,71.0,99.9
12099,Palm Beach County,FL,65.7,92.8
12101,Pasco County,FL,57.2,90.1
12103,Pinellas County,FL,63.4,88.2
12105,Polk County,FL,55.3,88.9
12107,Putnam County,FL,42.2,73.3
12113,Santa Rosa County,FL,50.6,98.3
12115,Sarasota County,FL,72.9,99.6
12117,Seminole County,FL,58.9,84.6
