FIPS,Recip_County,Recip_State,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Pop_Pct,Booster_Doses_Vax_Pct,Booster_Doses_50Plus_Vax_Pct,Booster_Doses_65Plus_Vax_Pct,Metro_status
2013,Aleutians East Borough,AK,86.9,55.0,74.9,41.4,59.0,80.6,Non-metro
2016,Aleutians West Census Area,AK,77.8,69.9,64.2,38.6,59.8,76.1,Non-metro
2020,Anchorage Municipality,AK,79.5,95.0,70.8,49.8,67.9,77.7,Metro
2050,Bethel Census Area,AK,74.0,89.3,68.7,51.8,74.9,82.9,Non-metro
2060,Bristol Bay Borough,AK,95.0,95.0,95.0,41.0,67.6,88.7,Non-metro
2068,Denali Borough,AK,65.9,94.1,55.7,53.5,67.4,74.1,Non-metro
2070,Dillingham Census Area,AK,59.4,81.4,53.5,49.3,70.3,79.8,Non-metro
2090,Fairbanks North Star Borough,AK,71.2,91.1,63.9,41.2,65.9,76.8,Metro
2100,Haines Borough,AK,77.0,95.0,71.3,61.1,73.0,85.4,Non-metro
2105,Hoonah-Angoon Census Area,AK,76.8,89.3,71.9,67.2,78.4,88.7,Non-metro
2110,Juneau City and Borough,AK,87.2,95.0,79.7,59.8,76.7,86.1,Non-metro
2122,Kenai Peninsula Borough,AK,55.6,88.0,50.0,52.1,64.6,73.6,Non-metro
2130,Ketchikan Gateway Borough,AK,74.3,93.6,67.4,51.1,68.3,78.8,Non-metro
2150,Kodiak Island Borough,AK,74.6,95.0,67.0,52.3,71.4,83.8,Non-metro
2158,Kusilvak Census Area,AK,74.2,94.1,68.8,46.4,72.3,81.9,Non-metro
2164,Lake and Peninsula Borough,AK,66.3,81.4,60.6,61.8,78.7,93.7,Non-metro
2170,Matanuska-Susitna Borough,AK,48.0,80.6,42.4,43.5,57.8,68.8,Metro
2180,Nome Census Area,AK,75.6,95.0,71.6,54.8,74.0,80.8,Non-metro
2185,North Slope Borough,AK,43.4,64.7,40.2,49.0,69.4,80.8,Non-metro
2188,Northwest Arctic Borough,AK,67.8,93.0,62.9,57.9,75.5,83.1,Non-metro
2195,Petersburg Census Area,AK,85.5,95.0,78.5,57.2,73.9,82.3,Non-metro
2198,Prince of Wales-Hyder Census Area,AK,60.0,79.3,54.5,55.5,66.9,73.6,Non-metro
2220,Sitka City and Borough,AK,87.4,95.0,81.0,61.7,79.4,92.0,Non-metro
2230,Skagway Municipality,AK,82.4,91.4,74.3,57.7,73.0,89.3,Non-metro
2240,Southeast Fairbanks Census Area,AK,47.6,76.4,43.0,42.0,57.1,70.1,Non-metro
2275,Wrangell City and Borough,AK,63.4,73.1,60.3,60.9,73.2,82.4,Non-metro
2282,Yakutat City and Borough,AK,82.7,94.3,79.6,57.7,75.2,84.8,Non-metro
2290,Yukon-Koyukuk Census Area,AK,85.5,95.0,79.0,58.6,77.3,87.1,Non-metro
1001,Autauga County,AL,57.8,90.3,45.9,37.6,50.8,60.2,Metro
1003,Baldwin County,AL,66.6,95.0,53.1,39.4,50.9,58.6,Metro
1005,Barbour County,AL,57.6,86.7,47.3,37.1,52.2,62.6,Non-metro
1007,Bibb County,AL,43.7,70.5,36.3,41.6,56.1,66.5,Metro
1009,Blount County,AL,39.5,64.3,32.8,36.7,50.1,59.7,Metro
1011,Bullock County,AL,71.9,95.0,56.6,40.7,54.1,61.4,Non-metro
1013,Butler County,AL,51.2,80.8,40.8,37.6,49.7,55.8,Non-metro
1015,Calhoun County,AL,58.9,95.0,48.8,39.3,52.8,62.8,Metro
1017,Chambers County,AL,39.3,60.9,33.0,40.5,53.4,62.1,Non-metro
1019,Cherokee County,AL,39.1,66.5,32.3,41.3,51.0,58.8,Non-metro
1021,Chilton County,AL,45.5,78.3,37.5,36.0,49.7,58.9,Metro
1023,Choctaw County,AL,84.7,95.0,68.3,39.7,51.3,60.9,Non-metro
1025,Clarke County,AL,64.2,94.5,52.3,39.6,53.1,62.8,Non-metro
