countyFIPS,County Name,State,population,Total Population,pop %
0,Statewide Unallocated,AL,0,4903185,0.0
1001,Autauga County,AL,55869,4903185,1.1394430354963152
1003,Baldwin County,AL,223234,4903185,4.5528365745938615
1005,Barbour County,AL,24686,4903185,0.5034686637359186
1007,Bibb County,AL,22394,4903185,0.4567235378636539
1009,Blount County,AL,57826,4903185,1.179355867665609
1011,Bullock County,AL,10101,4903185,0.20600895132449623
1013,Butler County,AL,19448,4903185,0.39664014309066453
1015,Calhoun County,AL,113605,4903185,2.3169633615700813
1017,Chambers County,AL,33254,4903185,0.6782122232793582
1019,Cherokee County,AL,26196,4903185,0.5342649726657265
1021,Chilton County,AL,44428,4903185,0.9061049093599364
1023,Choctaw County,AL,12589,4903185,0.2567514788856631
1025,Clarke County,AL,23622,4903185,0.4817684831390208
1027,Clay County,AL,13235,4903185,0.2699265885337796
1029,Cleburne County,AL,14910,4903185,0.3040880570486327
1031,Coffee County,AL,52342,4903185,1.0675102000026515
1033,Colbert County,AL,55241,4903185,1.1266350341665672
1035,Conecuh County,AL,12067,4903185,0.24610533765297452
1037,Coosa County,AL,10663,4903185,0.21747088882022605
1039,Covington County,AL,37049,4903185,0.7556108937353985
1041,Crenshaw County,AL,13772,4903185,0.28087865336510864
1043,Cullman County,AL,83768,4903185,1.7084405340610236
1045,Dale County,AL,49172,4903185,1.002858346156631
1047,Dallas County,AL,37196,4903185,0.7586089450020751
1049,DeKalb County,AL,71513,4903185,1.458500953971755
1051,Elmore County,AL,81209,4903185,1.6562499681329585
1053,Escambia County,AL,36633,4903185,0.7471266125997693
1055,Etowah County,AL,102268,4903185,2.08574630571761
1057,Fayette County,AL,16302,4903185,0.33247776700246884
1059,Franklin County,AL,31362,4903185,0.6396250600375062
1061,Geneva County,AL,26271,4903185,0.5357945906589289
1063,Greene County,AL,8111,4903185,0.16542308723819313
1065,Hale County,AL,14651,4903185,0.29880577624544047
1067,Henry County,AL,17205,4903185,0.3508943676406254
1069,Houston County,AL,105882,4903185,2.1594534980833884
1071,Jackson County,AL,51626,4903185,1.0529074468942126
1073,Jefferson County,AL,658573,4903185,13.431534808496925
1075,Lamar County,AL,13805,4903185,0.28155168528211766
1077,Lauderdale County,AL,92729,4903185,1.8911992918888436
1079,Lawrence County,AL,32924,4903185,0.6714819041092678
1081,Lee County,AL,164542,4903185,3.355818717833408
1083,Limestone County,AL,98915,4903185,2.0173621839681757
1085,Lowndes County,AL,9726,4903185,0.19836086135848435
1087,Macon County,AL,18068,4903185,0.3684951720157408
1089,Madison County,AL,372909,4903185,7.6054442163614056
1091,Marengo County,AL,18863,4903185,0.384709122743686
1093,Marion County,AL,29709,4903185,0.6059122794673257
1095,Marshall County,AL,96774,4903185,1.9736966889888918
1097,Mobile County,AL,413210,4903185,8.42737934628206
1099,Monroe County,AL,20733,4903185,0.42284759804086525
1101,Montgomery County,AL,226486,4903185,4.619160810779116
1103,Morgan County,AL,119679,4903185,2.4408420241128983
1105,Perry County,AL,8923,4903185,0.18198375137793088
1107,Pickens County,AL,19930,4903185,0.4064704880603118
1109,Pike County,AL,33114,4903185,0.6753569363587137
1111,Randolph County,AL,22722,4903185,0.4634130672205923
1113,Russell County,AL,57961,4903185,1.1821091800533736
1115,St. Clair County,AL,89512,4903185,1.8255888774337499
1117,Shelby County,AL,217702,4903185,4.440011951415253
1119,Sumter County,AL,12427,4903185,0.25344750402034594
1121,Talladega County,AL,79978,4903185,1.6311438381378633
1123,Tallapoosa County,AL,40367,4903185,0.8232811937546717
1125,Tuscaloosa County,AL,209355,4903185,4.269775666225117
1127,Walker County,AL,63521,4903185,1.2955048606161097
1129,Washington County,AL,16326,4903185,0.33296724476029355
1131,Wilcox County,AL,10373,4903185,0.21155636591317684
1133,Winston County,AL,23629,4903185,0.4819112474850531
