,Location,Exc_deaths_2017,Exc_deaths_2018,Exc_deaths_2019,Exc_deaths_2020,Exc_deaths_2021,Exc_deaths_2022,Week Ending Date,Observed Number,Upper Bound Threshold,Exceeds Threshold,Average Expected Count,Excess Estimate,Total Excess Estimate,Percent Excess Estimate,Year,Type,Outcome,Suppress,Note
0,Alabama,2649,4062,945,20726,29283,14805,2017-05-13,1064.0,1041,True,972,92,29601,9.46490078237786,2017,Predicted (weighted),All causes,,
1,Alabama,2649,4062,945,20726,29283,14805,2018-01-06,1248.0,1157,True,1082,166,29601,15.3447612637182,2018,Predicted (weighted),All causes,,
2,Alabama,2649,4062,945,20726,29283,14805,2018-01-13,1301.0,1161,True,1089,212,29601,19.4701221876049,2018,Predicted (weighted),All causes,,
3,Alabama,2649,4062,945,20726,29283,14805,2018-01-20,1275.0,1163,True,1092,183,29601,16.7575700554423,2018,Predicted (weighted),All causes,,
4,Alabama,2649,4062,945,20726,29283,14805,2018-01-27,1286.0,1162,True,1091,195,29601,17.8655518758075,2018,Predicted (weighted),All causes,,
5,Alabama,2649,4062,945,20726,29283,14805,2018-02-10,1181.0,1158,True,1086,95,29601,8.75106477245054,2018,Predicted (weighted),All causes,,
6,Alabama,2649,4062,945,20726,29283,14805,2020-02-29,1164.0,1163,True,1094,70,29601,6.40017256777927,2020,Predicted (weighted),All causes,,
7,Alabama,2649,4062,945,20726,29283,14805,2020-04-04,1156.0,1121,True,1056,100,29601,9.47370621604395,2020,Predicted (weighted),All causes,,
8,Alabama,2649,4062,945,20726,29283,14805,2020-04-11,1135.0,1112,True,1046,89,29601,8.5064128070018,2020,Predicted (weighted),All causes,,
9,Alabama,2649,4062,945,20726,29283,14805,2020-04-18,1149.0,1104,True,1040,109,29601,10.4781534252704,2020,Predicted (weighted),All causes,,
10,Alabama,2649,4062,945,20726,29283,14805,2020-04-25,1139.0,1097,True,1034,105,29601,10.1594172355683,2020,Predicted (weighted),All causes,,
11,Alabama,2649,4062,945,20726,29283,14805,2020-05-02,1147.0,1089,True,1026,121,29601,11.7924191835069,2020,Predicted (weighted),All causes,,
12,Alabama,2649,4062,945,20726,29283,14805,2020-05-09,1171.0,1086,True,1020,151,29601,14.8004370987306,2020,Predicted (weighted),All causes,,
13,Alabama,2649,4062,945,20726,29283,14805,2020-05-16,1148.0,1075,True,1012,136,29601,13.4370201819481,2020,Predicted (weighted),All causes,,
14,Alabama,2649,4062,945,20726,29283,14805,2020-05-23,1153.0,1072,True,1008,145,29601,14.3885417410723,2020,Predicted (weighted),All causes,,
15,Alabama,2649,4062,945,20726,29283,14805,2020-05-30,1109.0,1065,True,1003,106,29601,10.5671065483084,2020,Predicted (weighted),All causes,,
16,Alabama,2649,4062,945,20726,29283,14805,2020-06-06,1173.0,1068,True,1003,170,29601,16.9497072365519,2020,Predicted (weighted),All causes,,
17,Alabama,2649,4062,945,20726,29283,14805,2020-06-13,1138.0,1055,True,996,142,29601,14.2582600620866,2020,Predicted (weighted),All causes,,
18,Alabama,2649,4062,945,20726,29283,14805,2020-06-20,1090.0,1050,True,990,100,29601,10.0961712014017,2020,Predicted (weighted),All causes,,
19,Alabama,2649,4062,945,20726,29283,14805,2020-06-27,1151.0,1049,True,990,161,29601,16.262288220483,2020,Predicted (weighted),All causes,,
20,Alabama,2649,4062,945,20726,29283,14805,2020-07-04,1201.0,1050,True,989,212,29601,21.4367546016887,2020,Predicted (weighted),All causes,,
21,Alabama,2649,4062,945,20726,29283,14805,2020-07-11,1265.0,1048,True,987,278,29601,28.1698136669554,2020,Predicted (weighted),All causes,,
22,Alabama,2649,4062,945,20726,29283,14805,2020-07-18,1289.0,1042,True,983,306,29601,31.113687607797,2020,Predicted (weighted),All causes,,
23,Alabama,2649,4062,945,20726,29283,14805,2020-07-25,1333.0,1042,True,983,350,29601,35.6177450178681,2020,Predicted (weighted),All causes,,
24,Alabama,2649,4062,945,20726,29283,14805,2020-08-01,1364.0,1041,True,980,384,29601,39.1673650491134,2020,Predicted (weighted),All causes,,
25,Alabama,2649,4062,945,20726,29283,14805,2020-08-08,1379.0,1042,True,980,399,29601,40.7190879815493,2020,Predicted (weighted),All causes,,
26,Alabama,2649,4062,945,20726,29283,14805,2020-08-15,1305.0,1043,True,982,323,29601,32.8811300269303,2020,Predicted (weighted),All causes,,
27,Alabama,2649,4062,945,20726,29283,14805,2020-08-22,1303.0,1040,True,982,321,29601,32.6794131791355,2020,Predicted (weighted),All causes,,
28,Alabama,2649,4062,945,20726,29283,14805,2020-08-29,1216.0,1041,True,981,235,29601,23.9433534090465,2020,Predicted (weighted),All causes,,
29,Alabama,2649,4062,945,20726,29283,14805,2020-09-05,1216.0,1044,True,982,234,29601,23.8406779702815,2020,Predicted (weighted),All causes,,
30,Alabama,2649,4062,945,20726,29283,14805,2020-09-12,1232.0,1046,True,983,249,29601,25.322523234142,2020,Predicted (weighted),All causes,,
31,Alabama,2649,4062,945,20726,29283,14805,2020-09-19,1200.0,1045,True,985,215,29601,21.8182423916274,2020,Predicted (weighted),All causes,,
32,Alabama,2649,4062,945,20726,29283,14805,2020-09-26,1183.0,1046,True,987,196,29601,19.8673233554997,2020,Predicted (weighted),All causes,,
33,Alabama,2649,4062,945,20726,29283,14805,2020-10-03,1103.0,1055,True,994,109,29601,10.9697325713184,2020,Predicted (weighted),All causes,,
34,Alabama,2649,4062,945,20726,29283,14805,2020-10-10,1204.0,1062,True,998,206,29601,20.6472716692644,2020,Predicted (weighted),All causes,,
35,Alabama,2649,4062,945,20726,29283,14805,2020-10-17,1190.0,1070,True,1005,185,29601,18.4039451702535,2020,Predicted (weighted),All causes,,
36,Alabama,2649,4062,945,20726,29283,14805,2020-10-24,1142.0,1077,True,1011,131,29601,12.9526591030197,2020,Predicted (weighted),All causes,,
37,Alabama,2649,4062,945,20726,29283,14805,2020-10-31,1169.0,1088,True,1020,149,29601,14.608906194233,2020,Predicted (weighted),All causes,,
38,Alabama,2649,4062,945,20726,29283,14805,2020-11-07,1277.0,1103,True,1032,245,29601,23.7359201963029,2020,Predicted (weighted),All causes,,
39,Alabama,2649,4062,945,20726,29283,14805,2020-11-14,1269.0,1113,True,1038,231,29601,22.2529556693663,2020,Predicted (weighted),All causes,,
40,Alabama,2649,4062,945,20726,29283,14805,2020-11-21,1275.0,1125,True,1048,227,29601,21.6602565158732,2020,Predicted (weighted),All causes,,
41,Alabama,2649,4062,945,20726,29283,14805,2020-11-28,1326.0,1136,True,1059,267,29601,25.2121109435305,2020,Predicted (weighted),All causes,,
42,Alabama,2649,4062,945,20726,29283,14805,2020-12-05,1355.0,1147,True,1070,285,29601,26.6477107532923,2020,Predicted (weighted),All causes,,
43,Alabama,2649,4062,945,20726,29283,14805,2020-12-12,1598.0,1152,True,1077,521,29601,48.3804094102634,2020,Predicted (weighted),All causes,,
44,Alabama,2649,4062,945,20726,29283,14805,2020-12-19,1584.0,1157,True,1085,499,29601,45.973281234903,2020,Predicted (weighted),All causes,,
45,Alabama,2649,4062,945,20726,29283,14805,2020-12-26,1626.0,1168,True,1098,528,29601,48.0781699346486,2020,Predicted (weighted),All causes,,
46,Alabama,2649,4062,945,20726,29283,14805,2021-01-02,1804.0,1175,True,1106,698,29601,63.1388398232885,2021,Predicted (weighted),All causes,,
47,Alabama,2649,4062,945,20726,29283,14805,2021-01-09,1811.0,1177,True,1113,698,29601,62.7038326174737,2021,Predicted (weighted),All causes,,
48,Alabama,2649,4062,945,20726,29283,14805,2021-01-16,1835.0,1182,True,1119,716,29601,63.9861450088921,2021,Predicted (weighted),All causes,,
49,Alabama,2649,4062,945,20726,29283,14805,2021-01-23,1791.0,1181,True,1119,672,29601,60.0416223232942,2021,Predicted (weighted),All causes,,
50,Alabama,2649,4062,945,20726,29283,14805,2021-01-30,1637.0,1182,True,1118,519,29601,46.4321676763884,2021,Predicted (weighted),All causes,,
51,Alabama,2649,4062,945,20726,29283,14805,2021-02-06,1509.0,1178,True,1114,395,29601,35.4622927661724,2021,Predicted (weighted),All causes,,
52,Alabama,2649,4062,945,20726,29283,14805,2021-02-13,1432.0,1175,True,1112,320,29601,28.7771918748738,2021,Predicted (weighted),All causes,,
53,Alabama,2649,4062,945,20726,29283,14805,2021-02-20,1332.0,1170,True,1108,224,29601,20.2098935474398,2021,Predicted (weighted),All causes,,
