Location,Employment_2020,Employment_2021,Employment_2022,Inc_Per_Cap_2020,Inc_Per_Cap_2021,Inc_Per_CAp_2022,Life_Exp_2020,Life_Exp_2019,Life_Exp_2018,Employer_2019,Non-Group_2019,Medicaid_2019,Medicare_2019,Military_2019,Uninsured_2019,Employer_2021,Non-Group_2021,Medicaid_2021,Medicare_2021,Military_2021,Uninsured_2021,Population Density per mi²,2010 Population,2020 Population,flu_vaccination_rate_2019,asthma_prevalence,cardiac_mortality_rate,high_bp_prevalence,copd_prevalence,kidney_disease_prevalence,diabetes_prevalence,Physicians,Physicians Rate,Active MO,Active MO Rate,Active DO,Active DO Rate,Exc_deaths_2017,Exc_deaths_2018,Exc_deaths_2019,Exc_deaths_2020,Exc_deaths_2021,Exc_deaths_2022
Alabama,2671005,2769464,2869931,45887,50059,50916,73.2,75.2,75.1,0.472,0.055,0.195,0.16,0.021,0.097,0.466,0.06,0.192,0.162,0.021,0.1,100.65,4779736,5024279,39.5,9.4,289.3,39.4,9.3,3.1,12.2,10983.0,224.0,10389.0,211.9,594.0,12.1,2649,4062,945,20726,29283,14805
Alaska,430840,443047,457687,61898,65662,68635,76.6,77.7,78.0,0.484,0.035,0.213,0.1,0.053,0.115,0.433,0.041,0.257,0.107,0.053,0.108,1.3,710231,733391,37.0,9.7,178.5,32.8,4.6,1.8,7.1,2101.0,287.2,1825.0,249.5,276.0,37.7,417,492,639,1422,3483,1783
Arizona,3920033,4086802,4287595,52133,56420,58442,76.3,78.8,78.7,0.451,0.052,0.21,0.161,0.015,0.111,0.45,0.054,0.213,0.162,0.015,0.106,64.96,6392017,7151502,37.1,9.8,181.8,29.9,6.0,3.6,9.8,18343.0,252.0,15989.0,219.7,2353.0,32.3,3522,4281,1785,30955,40347,20653
Arkansas,1639829,1686444,1755536,47147,51636,52618,73.8,75.7,75.6,0.42,0.054,0.262,0.159,0.014,0.091,0.411,0.056,0.27,0.156,0.015,0.092,58.43,2915918,3011524,40.1,9.3,284.3,38.2,9.7,3.7,12.2,6500.0,215.4,6132.0,203.2,368.0,12.2,3054,2199,1434,11285,15391,8969
California,23154091,23934549,25300974,70061,76991,77036,79.0,80.9,80.8,0.48,0.066,0.253,0.114,0.009,0.078,0.47,0.07,0.265,0.117,0.008,0.07,258.21,37253956,39538223,40.7,7.8,192.5,26.6,4.2,2.8,9.4,113718.0,287.8,107383.0,271.8,6333.0,16.0,17241,13434,1029,93875,133206,89195
Colorado,3821481,3988907,4187944,64852,71923,75722,78.3,80.0,80.0,0.534,0.069,0.168,0.128,0.023,0.078,0.513,0.07,0.185,0.131,0.022,0.08,57.86,5029196,5773714,45.6,9.7,175.0,24.6,4.3,1.7,6.6,16956.0,294.4,15270.0,265.2,1685.0,29.3,1509,732,813,14544,16622,13179
Connecticut,2217432,2289551,2391946,77383,80691,82938,78.4,80.3,80.4,0.529,0.048,0.215,0.141,0.007,0.059,0.519,0.055,0.226,0.141,0.007,0.051,746.7,3574097,3605944,47.1,10.8,182.5,27.6,4.6,2.1,8.3,12977.0,364.0,12453.0,349.3,523.0,14.7,2973,1599,1428,12579,5581,5712
Delaware,592126,620352,651224,55778,58889,63243,76.7,78.1,77.8,0.497,0.041,0.204,0.173,0.018,0.066,0.488,0.062,0.206,0.176,0.012,0.057,522.09,897934,989948,40.9,9.8,214.3,32.4,7.3,3.7,10.9,2850.0,292.7,2484.0,255.1,366.0,37.6,1062,1263,258,3090,3433,2661
Florida,12719592,13458025,14227252,56561,63078,64806,77.5,79.0,78.9,0.403,0.095,0.174,0.18,0.017,0.131,0.4,0.104,0.178,0.179,0.017,0.121,416.96,18801310,21538187,33.3,7.3,195.1,28.8,6.6,3.4,9.4,58822.0,273.9,53328.0,248.3,5486.0,25.5,8355,7782,594,59091,101421,44607
Georgia,6326647,6639656,6971461,51469,56184,56589,75.6,77.4,77.2,0.489,0.056,0.173,0.126,0.022,0.134,0.483,0.061,0.18,0.127,0.022,0.127,191.59,9687653,10711908,34.9,7.6,234.3,33.0,7.0,3.6,11.2,25072.0,236.1,23832.0,224.5,1237.0,11.7,1920,4950,1095,34944,54047,31128
Hawaii,817697,861096,903622,57036,61464,61779,80.7,80.9,81.0,0.543,0.041,0.176,0.159,0.04,0.041,0.51,0.045,0.204,0.161,0.044,0.037,231.01,1360301,1455271,42.1,9.7,169.8,27.7,4.0,2.6,9.3,4557.0,321.9,4293.0,303.2,264.0,18.6,1239,1038,1032,1011,2323,2781
Idaho,1077864,1137618,1190624,49691,54148,56614,78.4,79.5,79.0,0.49,0.086,0.156,0.15,0.014,0.105,0.479,0.066,0.201,0.149,0.018,0.085,23.24,1567582,1839106,36.5,9.9,197.4,28.7,4.7,2.7,9.3,3504.0,196.1,2973.0,166.4,531.0,29.7,1377,1017,759,4173,7668,4608
Illinois,7519019,7749727,8094358,61587,67278,67655,76.8,79.0,78.8,0.546,0.052,0.182,0.141,0.007,0.073,0.532,0.052,0.198,0.143,0.007,0.069,230.68,12830632,12812508,37.3,8.3,216.4,29.7,5.3,2.4,10.0,37122.0,292.9,34485.0,272.1,2630.0,20.8,6921,5814,807,46827,29262,28831
Indiana,3843114,3978425,4140665,51719,56934,58323,75.0,77.0,76.8,0.533,0.044,0.177,0.148,0.01,0.088,0.525,0.045,0.198,0.148,0.009,0.075,191.93,6483802,6785528,40.3,9.8,238.5,32.4,8.3,3.1,11.2,15918.0,236.4,14662.0,217.8,1255.0,18.6,5727,3183,777,23626,23137,14515
