State,2010 Population,2020 Population
California,37253956,39538223
Texas,25145561,29145505
New York,19378102,20201249
Florida,18801310,21538187
Illinois,12830632,12812508
Pennsylvania,12702379,13002700
Ohio,11536504,11799448
Michigan,9883640,10077331
Georgia,9687653,10711908
North Carolina,9535483,10439388
New Jersey,8791894,9288994
Virginia,8001024,8631393
Washington,6724540,7705281
Massachusetts,6547629,7029917
Indiana,6483802,6785528
Arizona,6392017,7151502
Tennessee,6346105,6910840
Missouri,5988927,6154913
Maryland,5773552,6177224
Wisconsin,5686986,5893718
Minnesota,5303925,5706494
Colorado,5029196,5773714
Alabama,4779736,5024279
South Carolina,4625364,5118425
Louisiana,4533372,4657757
Kentucky,4339367,4505836
Oregon,3831074,4237256
Oklahoma,3751351,3959353
Puerto Rico,3725789,3285874
Connecticut,3574097,3605944
Iowa,3046355,3190369
Mississippi,2967297,2961279
Arkansas,2915918,3011524
Kansas,2853118,2937880
Utah,2763885,3271616
Nevada,2700551,3104614
New Mexico,2059179,2117522
West Virginia,1852994,1793716
Nebraska,1826341,1961504
Idaho,1567582,1839106
Hawaii,1360301,1455271
Maine,1328361,1362359
New Hampshire,1316470,1377529
Rhode Island,1052567,1097379
Montana,989415,1084225
Delaware,897934,989948
South Dakota,814180,886667
Alaska,710231,733391
North Dakota,672591,779094
Vermont,625741,643077
District of Columbia,601723,689545
Wyoming,563626,576851
