"Wave_time","State","StateFIPS","Start_Date","End_Date","N_State","Requiring everyone to get a COVID-19 vaccine","Requiring a COVID-19 vaccine to get on an airplane","Requiring children to get a COVID-19 vaccine in order to be allowed in school","Requiring college students to get a COVID-19 vaccine in order to go back to university"
"December","United States",NA,2020-12-16,2021-01-11,25640,55.5,63,56,NA
"December","Alaska",2,2020-12-16,2021-01-11,405,50.7,53.5,48.9,NA
"December","Alabama",1,2020-12-16,2021-01-11,448,48.4,60,51,NA
"December","Arkansas",5,2020-12-16,2021-01-11,469,39,46.1,40.6,NA
"December","Arizona",4,2020-12-16,2021-01-11,469,54.2,58.3,54.3,NA
"December","California",6,2020-12-16,2021-01-11,569,61,68.7,63.7,NA
"December","Colorado",8,2020-12-16,2021-01-11,502,52.2,56.9,54.3,NA
"December","Connecticut",9,2020-12-16,2021-01-11,509,65.3,67,60.5,NA
"December","District of Columbia",11,2020-12-16,2021-01-11,437,74.9,80.1,74.3,NA
"December","Delaware",10,2020-12-16,2021-01-11,539,57.9,66.6,58,NA
"December","Florida",12,2020-12-16,2021-01-11,551,56.3,63.9,59.4,NA
"December","Georgia",13,2020-12-16,2021-01-11,492,50.8,56.7,54.7,NA
"December","Hawaii",15,2020-12-16,2021-01-11,604,62.4,69.2,62.7,NA
"December","Iowa",19,2020-12-16,2021-01-11,436,51.6,60.2,54.5,NA
"December","Idaho",16,2020-12-16,2021-01-11,568,40.8,50.6,43.5,NA
"December","Illinois",17,2020-12-16,2021-01-11,537,58.7,65.5,60.1,NA
"December","Indiana",18,2020-12-16,2021-01-11,483,50.8,57.3,48.7,NA
"December","Kansas",20,2020-12-16,2021-01-11,485,56.8,61.2,56.7,NA
"December","Kentucky",21,2020-12-16,2021-01-11,449,51.6,63.2,52.9,NA
"December","Louisiana",22,2020-12-16,2021-01-11,487,45.8,58.8,45.2,NA
"December","Massachusetts",25,2020-12-16,2021-01-11,518,70.7,73.1,67.2,NA
"December","Maryland",24,2020-12-16,2021-01-11,507,60.8,68.7,62.1,NA
"December","Maine",23,2020-12-16,2021-01-11,596,52.2,60.7,51.6,NA
"December","Michigan",26,2020-12-16,2021-01-11,497,51.2,60.5,52.8,NA
"December","Minnesota",27,2020-12-16,2021-01-11,513,55.4,60.6,53.9,NA
"December","Missouri",29,2020-12-16,2021-01-11,494,44.1,55.8,47.1,NA
"December","Mississippi",28,2020-12-16,2021-01-11,510,48.8,60.1,48.7,NA
"December","Montana",30,2020-12-16,2021-01-11,533,44.7,53.9,45,NA
"December","North Carolina",37,2020-12-16,2021-01-11,529,57.5,66.2,59.4,NA
"December","North Dakota",38,2020-12-16,2021-01-11,505,50.1,56.9,46.5,NA
"December","Nebraska",31,2020-12-16,2021-01-11,591,54.3,59.5,53.1,NA
"December","New Hampshire",33,2020-12-16,2021-01-11,566,56.8,69.6,58.9,NA
"December","New Jersey",34,2020-12-16,2021-01-11,461,64.5,70.9,63,NA
