"Wave_time","State","StateFIPS","Start_Date","End_Date","N_State","Current President","Your State Governor"
"Late Apr","United States",NA,2020-04-16,2020-04-30,21405,43.09893334,65.08360839
"Late Apr","Alaska",2,2020-04-16,2020-04-30,103,56.06077532,64.20880987
"Late Apr","Alabama",1,2020-04-16,2020-04-30,465,54.37112424,58.90323234
"Late Apr","Arkansas",5,2020-04-16,2020-04-30,460,53.71665448,65.26068462
"Late Apr","Arizona",4,2020-04-16,2020-04-30,484,43.07990383,57.21766551
"Late Apr","California",6,2020-04-16,2020-04-30,811,35.63446523,72.00748615
"Late Apr","Colorado",8,2020-04-16,2020-04-30,470,42.54302587,65.00781333
"Late Apr","Connecticut",9,2020-04-16,2020-04-30,349,34.98302227,65.86341158
"Late Apr","Delaware",10,2020-04-16,2020-04-30,336,37.65880073,69.64804366
"Late Apr","Florida",12,2020-04-16,2020-04-30,616,44.21308264,50.42927933
"Late Apr","Georgia",13,2020-04-16,2020-04-30,514,45.73159285,53.05338613
"Late Apr","Hawaii",15,2020-04-16,2020-04-30,278,32.42392505,39.73172224
"Late Apr","Iowa",19,2020-04-16,2020-04-30,468,44.40731976,53.0179294
"Late Apr","Idaho",16,2020-04-16,2020-04-30,349,52.36569966,64.50554521
"Late Apr","Illinois",17,2020-04-16,2020-04-30,518,36.43386614,63.36883173
"Late Apr","Indiana",18,2020-04-16,2020-04-30,491,52.74706422,70.95425228
"Late Apr","Kansas",20,2020-04-16,2020-04-30,475,48.28963642,68.61736351
"Late Apr","Kentucky",21,2020-04-16,2020-04-30,458,53.5164255,78.97322561
"Late Apr","Louisiana",22,2020-04-16,2020-04-30,468,51.77452449,68.13177778
"Late Apr","Massachusetts",25,2020-04-16,2020-04-30,488,37.29186285,78.82541395
"Late Apr","Maryland",24,2020-04-16,2020-04-30,404,37.82593525,78.18148216
"Late Apr","Maine",23,2020-04-16,2020-04-30,341,44.42328649,69.00011156
"Late Apr","Michigan",26,2020-04-16,2020-04-30,525,38.7530223,63.64501204
"Late Apr","Minnesota",27,2020-04-16,2020-04-30,475,45.61428607,71.86125734
"Late Apr","Missouri",29,2020-04-16,2020-04-30,462,50.26974148,60.48049977
"Late Apr","Mississippi",28,2020-04-16,2020-04-30,437,45.814835,56.12251615
"Late Apr","Montana",30,2020-04-16,2020-04-30,231,50.01686517,58.74981819
"Late Apr","North Carolina",37,2020-04-16,2020-04-30,512,47.80062006,59.18365387
"Late Apr","North Dakota",38,2020-04-16,2020-04-30,176,52.92239742,66.06417743
"Late Apr","Nebraska",31,2020-04-16,2020-04-30,362,53.27967789,62.50907636
"Late Apr","New Hampshire",33,2020-04-16,2020-04-30,375,39.45072947,72.76966438
"Late Apr","New Jersey",34,2020-04-16,2020-04-30,540,39.62580678,66.61313696
"Late Apr","New Mexico",35,2020-04-16,2020-04-30,136,46.1695122,66.35246641
"Late Apr","Nevada",32,2020-04-16,2020-04-30,473,41.50102248,60.44032705
"Late Apr","New York",36,2020-04-16,2020-04-30,640,36.2417933,69.47577382
"Late Apr","Ohio",39,2020-04-16,2020-04-30,503,52.76282814,82.11979606
"Late Apr","Oklahoma",40,2020-04-16,2020-04-30,459,52.21829413,52.61370838
"Late Apr","Oregon",41,2020-04-16,2020-04-30,475,35.14511047,62.07507822
"Late Apr","Pennsylvania",42,2020-04-16,2020-04-30,524,40.30827695,59.68791472
"Late Apr","Rhode Island",44,2020-04-16,2020-04-30,314,39.59582032,74.10668996
"Late Apr","South Carolina",45,2020-04-16,2020-04-30,478,48.18559621,51.44569933
"Late Apr","South Dakota",46,2020-04-16,2020-04-30,193,42.34648139,43.49719777
"Late Apr","Tennessee",47,2020-04-16,2020-04-30,472,50.274755,62.59111409
"Late Apr","Texas",48,2020-04-16,2020-04-30,614,43.30805631,62.2331859
"Late Apr","Utah",49,2020-04-16,2020-04-30,437,46.20043275,61.14368281
"Late Apr","Virginia",51,2020-04-16,2020-04-30,524,43.74807037,58.61728272
"Late Apr","Vermont",50,2020-04-16,2020-04-30,189,31.30160466,71.51676103
"Late Apr","Washington",53,2020-04-16,2020-04-30,398,33.37584269,71.2599466
"Late Apr","Wisconsin",55,2020-04-16,2020-04-30,474,38.88144723,55.01652911
"Late Apr","West Virginia",54,2020-04-16,2020-04-30,370,58.09975983,78.44200728
"Late Apr","Wyoming",56,2020-04-16,2020-04-30,165,61.78282956,62.30596952
"Early May","United States",NA,2020-05-01,2020-05-21,23814,40.36936804,59.15871171
"Early May","Alaska",2,2020-05-01,2020-05-21,173,41.81377679,53.52763617
"Early May","Alabama",1,2020-05-01,2020-05-21,436,52.36978645,49.11373107
"Early May","Arkansas",5,2020-05-01,2020-05-21,407,53.05654317,60.69416343
"Early May","Arizona",4,2020-05-01,2020-05-21,380,40.16515786,54.08954874
"Early May","California",6,2020-05-01,2020-05-21,976,33.83876752,65.53626415
"Early May","Colorado",8,2020-05-01,2020-05-21,443,37.35386946,56.23196315
"Early May","Connecticut",9,2020-05-01,2020-05-21,400,32.97450909,62.28229911
"Early May","Delaware",10,2020-05-01,2020-05-21,361,37.89645306,65.50266445
"Early May","Florida",12,2020-05-01,2020-05-21,853,42.89172398,45.19067793
"Early May","Georgia",13,2020-05-01,2020-05-21,620,40.04105577,36.75901312
"Early May","Hawaii",15,2020-05-01,2020-05-21,246,26.42848444,34.99045202
"Early May","Iowa",19,2020-05-01,2020-05-21,446,41.04461566,37.56519583
"Early May","Idaho",16,2020-05-01,2020-05-21,398,48.35800544,54.22373767
"Early May","Illinois",17,2020-05-01,2020-05-21,657,35.65336003,58.39828292
"Early May","Indiana",18,2020-05-01,2020-05-21,506,49.60350217,60.1363935
"Early May","Kansas",20,2020-05-01,2020-05-21,518,44.38505488,57.9736042
"Early May","Kentucky",21,2020-05-01,2020-05-21,441,46.74655543,69.10154396
"Early May","Louisiana",22,2020-05-01,2020-05-21,446,49.62547839,65.54320571
"Early May","Massachusetts",25,2020-05-01,2020-05-21,544,34.43339761,73.7149503
"Early May","Maryland",24,2020-05-01,2020-05-21,474,28.07991,72.23200712
"Early May","Maine",23,2020-05-01,2020-05-21,397,36.94680639,56.69773645
"Early May","Michigan",26,2020-05-01,2020-05-21,624,34.92228162,61.96490125
"Early May","Minnesota",27,2020-05-01,2020-05-21,479,42.14741969,63.44673531
"Early May","Missouri",29,2020-05-01,2020-05-21,530,49.07820545,52.08826398
"Early May","Mississippi",28,2020-05-01,2020-05-21,425,51.71036166,54.27900715
"Early May","Montana",30,2020-05-01,2020-05-21,284,50.87949358,65.25856093
"Early May","North Carolina",37,2020-05-01,2020-05-21,608,45.68639881,59.94924144
"Early May","North Dakota",38,2020-05-01,2020-05-21,237,44.93365806,53.27776951
"Early May","Nebraska",31,2020-05-01,2020-05-21,299,50.09549503,54.31453587
"Early May","New Hampshire",33,2020-05-01,2020-05-21,398,34.02979794,71.86068123
"Early May","New Jersey",34,2020-05-01,2020-05-21,638,38.22428737,67.70067481
"Early May","New Mexico",35,2020-05-01,2020-05-21,237,29.75848875,59.65090838
"Early May","Nevada",32,2020-05-01,2020-05-21,460,36.89436965,58.19154534
"Early May","New York",36,2020-05-01,2020-05-21,841,35.10244442,70.48816096
"Early May","Ohio",39,2020-05-01,2020-05-21,621,44.72502546,74.18964662
"Early May","Oklahoma",40,2020-05-01,2020-05-21,393,51.00809997,49.67635491
"Early May","Oregon",41,2020-05-01,2020-05-21,461,37.24547937,52.69592278
"Early May","Pennsylvania",42,2020-05-01,2020-05-21,651,39.31122863,54.72307474
"Early May","Rhode Island",44,2020-05-01,2020-05-21,344,29.20532359,70.95612487
"Early May","South Carolina",45,2020-05-01,2020-05-21,488,46.64725437,50.63019509
"Early May","South Dakota",46,2020-05-01,2020-05-21,258,42.73301487,49.09568295
"Early May","Tennessee",47,2020-05-01,2020-05-21,520,49.02315493,49.90779314
"Early May","Texas",48,2020-05-01,2020-05-21,752,39.35080327,51.58079762
"Early May","Utah",49,2020-05-01,2020-05-21,355,50.16303749,57.63919912
"Early May","Virginia",51,2020-05-01,2020-05-21,622,38.4555226,55.94091244
"Early May","Vermont",50,2020-05-01,2020-05-21,274,35.92857781,75.11226968
"Early May","Washington",53,2020-05-01,2020-05-21,527,31.61387169,63.87351677
"Early May","Wisconsin",55,2020-05-01,2020-05-21,621,32.7537062,55.5273691
"Early May","West Virginia",54,2020-05-01,2020-05-21,369,56.77149625,68.77679232
"Early May","Wyoming",56,2020-05-01,2020-05-21,168,62.07410378,62.5862633
"Late May","United States",NA,2020-05-16,2020-06-01,20391,35.61426028,55.34679357
"Late May","Alaska",2,2020-05-16,2020-06-01,129,36.33779633,53.4395358
"Late May","Alabama",1,2020-05-16,2020-06-01,396,45.71791182,48.26069923
"Late May","Arkansas",5,2020-05-16,2020-06-01,333,44.76679564,49.94515952
"Late May","Arizona",4,2020-05-16,2020-06-01,526,37.09113546,42.43238247
"Late May","California",6,2020-05-16,2020-06-01,994,29.757254,57.26935414
"Late May","Colorado",8,2020-05-16,2020-06-01,432,31.90145485,50.55852736
"Late May","Connecticut",9,2020-05-16,2020-06-01,263,33.84061999,64.98679174
"Late May","Delaware",10,2020-05-16,2020-06-01,418,32.42656767,55.77913479
"Late May","Florida",12,2020-05-16,2020-06-01,699,40.18419448,51.44948292
"Late May","Georgia",13,2020-05-16,2020-06-01,480,36.74588933,36.2100827
"Late May","Hawaii",15,2020-05-16,2020-06-01,318,18.41896772,41.79488071
"Late May","Iowa",19,2020-05-16,2020-06-01,264,33.63841093,37.59737947
"Late May","Idaho",16,2020-05-16,2020-06-01,404,40.5787499,44.35982198
"Late May","Illinois",17,2020-05-16,2020-06-01,582,37.25199276,53.23843952
"Late May","Indiana",18,2020-05-16,2020-06-01,417,36.69757359,55.63480006
"Late May","Kansas",20,2020-05-16,2020-06-01,259,36.08952105,56.89659664
