State or DC,,,,
GeoFips,GeoName,2020,2021,2022
1000,Alabama,45887,50059,50916
2000,Alaska,61898,65662,68635
4000,Arizona,52133,56420,58442
5000,Arkansas,47147,51636,52618
6000,California,70061,76991,77036
8000,Colorado,64852,71923,75722
9000,Connecticut,77383,80691,82938
10000,Delaware,55778,58889,63243
11000,District of Columbia,89703,97498,95970
12000,Florida,56561,63078,64806
13000,Georgia,51469,56184,56589
15000,Hawaii,57036,61464,61779
16000,Idaho,49691,54148,56614
17000,Illinois,61587,67278,67655
18000,Indiana,51719,56934,58323
19000,Iowa,52586,58049,60222
20000,Kansas,55041,58569,60424
21000,Kentucky,47026,51561,51921
22000,Louisiana,50243,54531,54501
23000,Maine,54301,58687,60599
24000,Maryland,64825,69052,70228
25000,Massachusetts,77393,83461,84561
26000,Michigan,52786,56601,57038
27000,Minnesota,61278,66846,68840
28000,Mississippi,42513,46577,46370
29000,Missouri,52095,56073,57818
30000,Montana,53546,58344,60984
31000,Nebraska,56733,62682,64268
32000,Nevada,54650,61024,62085
33000,New Hampshire,67883,72214,73910
34000,New Jersey,70957,76079,77199
35000,New Mexico,46631,51141,52194
36000,New York,69873,75948,75407
37000,North Carolina,51781,56705,58109
38000,North Dakota,61091,65895,70360
39000,Ohio,52879,57026,57777
40000,Oklahoma,50249,55165,56298
41000,Oregon,56507,61646,62303
42000,Pennsylvania,60320,64042,64506
44000,Rhode Island,59066,63663,63557
45000,South Carolina,48772,52828,53618
46000,South Dakota,59465,65421,68176
47000,Tennessee,51928,56970,58292
48000,Texas,55118,60548,62586
49000,Utah,51751,57042,59457
50000,Vermont,57978,61214,63039
51000,Virginia,61474,66838,68985
53000,Washington,67674,74188,75332
54000,West Virginia,45071,49071,49993
55000,Wisconsin,55431,60381,61475
56000,Wyoming,65558,70522,73248
