YearStart,LocationDesc,Question,DataValue
2019,Alaska,Current asthma prevalence among adults aged >= 18 years,9.7
2019,Alabama,Current asthma prevalence among adults aged >= 18 years,9.4
2019,Arkansas,Current asthma prevalence among adults aged >= 18 years,9.3
2019,Arizona,Current asthma prevalence among adults aged >= 18 years,9.8
2019,California,Current asthma prevalence among adults aged >= 18 years,7.8
2019,Colorado,Current asthma prevalence among adults aged >= 18 years,9.7
2019,Connecticut,Current asthma prevalence among adults aged >= 18 years,10.8
2019,District of Columbia,Current asthma prevalence among adults aged >= 18 years,11.1
2019,Delaware,Current asthma prevalence among adults aged >= 18 years,9.8
2019,Florida,Current asthma prevalence among adults aged >= 18 years,7.3
2019,Georgia,Current asthma prevalence among adults aged >= 18 years,7.6
2019,Guam,Current asthma prevalence among adults aged >= 18 years,5.2
2019,Hawaii,Current asthma prevalence among adults aged >= 18 years,9.7
2019,Iowa,Current asthma prevalence among adults aged >= 18 years,8.1
2019,Idaho,Current asthma prevalence among adults aged >= 18 years,9.9
2019,Illinois,Current asthma prevalence among adults aged >= 18 years,8.3
2019,Indiana,Current asthma prevalence among adults aged >= 18 years,9.8
2019,Kansas,Current asthma prevalence among adults aged >= 18 years,10.0
2019,Kentucky,Current asthma prevalence among adults aged >= 18 years,9.3
2019,Louisiana,Current asthma prevalence among adults aged >= 18 years,7.8
2019,Massachusetts,Current asthma prevalence among adults aged >= 18 years,10.3
2019,Maryland,Current asthma prevalence among adults aged >= 18 years,9.1
2019,Maine,Current asthma prevalence among adults aged >= 18 years,12.4
2019,Michigan,Current asthma prevalence among adults aged >= 18 years,11.3
2019,Minnesota,Current asthma prevalence among adults aged >= 18 years,8.3
2019,Missouri,Current asthma prevalence among adults aged >= 18 years,10.2
2019,Mississippi,Current asthma prevalence among adults aged >= 18 years,9.8
2019,Montana,Current asthma prevalence among adults aged >= 18 years,10.0
2019,North Carolina,Current asthma prevalence among adults aged >= 18 years,8.2
2019,North Dakota,Current asthma prevalence among adults aged >= 18 years,8.2
2019,Nebraska,Current asthma prevalence among adults aged >= 18 years,8.1
2019,New Hampshire,Current asthma prevalence among adults aged >= 18 years,11.3
2019,New Jersey,Current asthma prevalence among adults aged >= 18 years,
2019,New Mexico,Current asthma prevalence among adults aged >= 18 years,8.3
2019,Nevada,Current asthma prevalence among adults aged >= 18 years,9.3
2019,New York,Current asthma prevalence among adults aged >= 18 years,9.3
2019,Ohio,Current asthma prevalence among adults aged >= 18 years,11.3
2019,Oklahoma,Current asthma prevalence among adults aged >= 18 years,10.3
2019,Oregon,Current asthma prevalence among adults aged >= 18 years,11.2
2019,Pennsylvania,Current asthma prevalence among adults aged >= 18 years,11.2
2019,Puerto Rico,Current asthma prevalence among adults aged >= 18 years,10.6
2019,Rhode Island,Current asthma prevalence among adults aged >= 18 years,11.2
2019,South Carolina,Current asthma prevalence among adults aged >= 18 years,9.6
2019,Tennessee,Current asthma prevalence among adults aged >= 18 years,8.8
2019,South Dakota,Current asthma prevalence among adults aged >= 18 years,8.5
2019,Texas,Current asthma prevalence among adults aged >= 18 years,7.0
2019,United States,Current asthma prevalence among adults aged >= 18 years,9.7
2019,Virginia,Current asthma prevalence among adults aged >= 18 years,8.8
2019,Utah,Current asthma prevalence among adults aged >= 18 years,9.8
2019,Virgin Islands,Current asthma prevalence among adults aged >= 18 years,
2019,Vermont,Current asthma prevalence among adults aged >= 18 years,12.1
2019,Washington,Current asthma prevalence among adults aged >= 18 years,9.9
2019,Wisconsin,Current asthma prevalence among adults aged >= 18 years,10.2
2019,West Virginia,Current asthma prevalence among adults aged >= 18 years,11.6
2019,Wyoming,Current asthma prevalence among adults aged >= 18 years,9.5
