,YearStart,LocationDesc,Question,DataValue
1148,2019,Minnesota,Mortality from total cardiovascular diseases,212.3
1656,2019,Alaska,Mortality from total cardiovascular diseases,156.2
2396,2019,Kansas,Mortality from total cardiovascular diseases,275.9
2476,2019,Delaware,Mortality from total cardiovascular diseases,291.4
2529,2019,Arkansas,Mortality from total cardiovascular diseases,360.5
2629,2019,Georgia,Mortality from total cardiovascular diseases,244.7
3310,2019,Kentucky,Mortality from total cardiovascular diseases,309.9
3370,2019,Massachusetts,Mortality from total cardiovascular diseases,225.3
3807,2019,District of Columbia,Mortality from total cardiovascular diseases,230.3
3984,2019,Alabama,Mortality from total cardiovascular diseases,361.0
4048,2019,Florida,Mortality from total cardiovascular diseases,306.8
4836,2019,Louisiana,Mortality from total cardiovascular diseases,308.4
4961,2019,California,Mortality from total cardiovascular diseases,221.7
5473,2019,Connecticut,Mortality from total cardiovascular diseases,263.1
5540,2019,Illinois,Mortality from total cardiovascular diseases,270.9
5562,2019,Iowa,Mortality from total cardiovascular diseases,306.1
6063,2019,Maryland,Mortality from total cardiovascular diseases,265.2
6346,2019,Arizona,Mortality from total cardiovascular diseases,234.7
6844,2019,Idaho,Mortality from total cardiovascular diseases,223.9
6915,2019,Indiana,Mortality from total cardiovascular diseases,288.4
6934,2019,Colorado,Mortality from total cardiovascular diseases,183.7
6960,2019,Hawaii,Mortality from total cardiovascular diseases,252.8
7323,2019,New Mexico,Mortality from total cardiovascular diseases,260.9
7557,2019,Missouri,Mortality from total cardiovascular diseases,311.5
7936,2019,Ohio,Mortality from total cardiovascular diseases,327.3
7959,2019,New York,Mortality from total cardiovascular diseases,280.6
7991,2019,Nevada,Mortality from total cardiovascular diseases,282.9
8207,2019,Montana,Mortality from total cardiovascular diseases,271.8
8230,2019,Mississippi,Mortality from total cardiovascular diseases,355.6
9760,2019,South Dakota,Mortality from total cardiovascular diseases,273.7
9782,2019,Texas,Mortality from total cardiovascular diseases,211.0
10920,2019,United States,Mortality from total cardiovascular diseases,266.5
11087,2019,Maine,Mortality from total cardiovascular diseases,287.8
11285,2019,Michigan,Mortality from total cardiovascular diseases,329.8
13225,2019,Wyoming,Mortality from total cardiovascular diseases,240.2
13462,2019,Washington,Mortality from total cardiovascular diseases,214.7
13993,2019,Virginia,Mortality from total cardiovascular diseases,239.4
14778,2019,Oregon,Mortality from total cardiovascular diseases,244.4
14851,2019,Oklahoma,Mortality from total cardiovascular diseases,341.2
15034,2019,Pennsylvania,Mortality from total cardiovascular diseases,323.8
15073,2019,North Carolina,Mortality from total cardiovascular diseases,255.8
15097,2019,North Dakota,Mortality from total cardiovascular diseases,256.0
15775,2019,Nebraska,Mortality from total cardiovascular diseases,245.4
15812,2019,New Hampshire,Mortality from total cardiovascular diseases,255.6
16386,2019,New Jersey,Mortality from total cardiovascular diseases,269.6
17124,2019,Tennessee,Mortality from total cardiovascular diseases,318.1
17537,2019,South Carolina,Mortality from total cardiovascular diseases,279.7
20293,2019,Rhode Island,Mortality from total cardiovascular diseases,287.2
20416,2019,West Virginia,Mortality from total cardiovascular diseases,373.7
21070,2019,Wisconsin,Mortality from total cardiovascular diseases,274.1
21362,2019,Vermont,Mortality from total cardiovascular diseases,289.7
21685,2019,Utah,Mortality from total cardiovascular diseases,159.4
