YearStart,LocationDesc,Question,DataValue
2019,Alaska,Prevalence of chronic obstructive pulmonary disease among adults >= 18,4.6
2019,Alabama,Prevalence of chronic obstructive pulmonary disease among adults >= 18,9.3
2019,Arkansas,Prevalence of chronic obstructive pulmonary disease among adults >= 18,9.7
2019,California,Prevalence of chronic obstructive pulmonary disease among adults >= 18,4.2
2019,Arizona,Prevalence of chronic obstructive pulmonary disease among adults >= 18,6.0
2019,Colorado,Prevalence of chronic obstructive pulmonary disease among adults >= 18,4.3
2019,Connecticut,Prevalence of chronic obstructive pulmonary disease among adults >= 18,4.6
2019,District of Columbia,Prevalence of chronic obstructive pulmonary disease among adults >= 18,4.9
2019,Delaware,Prevalence of chronic obstructive pulmonary disease among adults >= 18,7.3
2019,Florida,Prevalence of chronic obstructive pulmonary disease among adults >= 18,6.6
2019,Georgia,Prevalence of chronic obstructive pulmonary disease among adults >= 18,7.0
2019,Guam,Prevalence of chronic obstructive pulmonary disease among adults >= 18,3.4
2019,Hawaii,Prevalence of chronic obstructive pulmonary disease among adults >= 18,4.0
2019,Iowa,Prevalence of chronic obstructive pulmonary disease among adults >= 18,5.5
2019,Idaho,Prevalence of chronic obstructive pulmonary disease among adults >= 18,4.7
2019,Illinois,Prevalence of chronic obstructive pulmonary disease among adults >= 18,5.3
2019,Indiana,Prevalence of chronic obstructive pulmonary disease among adults >= 18,8.3
2019,Kansas,Prevalence of chronic obstructive pulmonary disease among adults >= 18,6.0
2019,Kentucky,Prevalence of chronic obstructive pulmonary disease among adults >= 18,9.7
2019,Louisiana,Prevalence of chronic obstructive pulmonary disease among adults >= 18,8.2
2019,Massachusetts,Prevalence of chronic obstructive pulmonary disease among adults >= 18,4.4
2019,Maryland,Prevalence of chronic obstructive pulmonary disease among adults >= 18,4.9
2019,Maine,Prevalence of chronic obstructive pulmonary disease among adults >= 18,7.8
2019,Minnesota,Prevalence of chronic obstructive pulmonary disease among adults >= 18,4.0
2019,Michigan,Prevalence of chronic obstructive pulmonary disease among adults >= 18,7.3
2019,Missouri,Prevalence of chronic obstructive pulmonary disease among adults >= 18,7.9
2019,Mississippi,Prevalence of chronic obstructive pulmonary disease among adults >= 18,8.8
2019,Montana,Prevalence of chronic obstructive pulmonary disease among adults >= 18,5.9
2019,North Carolina,Prevalence of chronic obstructive pulmonary disease among adults >= 18,7.0
2019,North Dakota,Prevalence of chronic obstructive pulmonary disease among adults >= 18,4.9
2019,Nebraska,Prevalence of chronic obstructive pulmonary disease among adults >= 18,5.2
2019,New Hampshire,Prevalence of chronic obstructive pulmonary disease among adults >= 18,5.4
2019,New Jersey,Prevalence of chronic obstructive pulmonary disease among adults >= 18,
2019,New Mexico,Prevalence of chronic obstructive pulmonary disease among adults >= 18,5.0
2019,Nevada,Prevalence of chronic obstructive pulmonary disease among adults >= 18,7.3
2019,New York,Prevalence of chronic obstructive pulmonary disease among adults >= 18,5.2
2019,Ohio,Prevalence of chronic obstructive pulmonary disease among adults >= 18,8.1
2019,Oklahoma,Prevalence of chronic obstructive pulmonary disease among adults >= 18,8.1
2019,Oregon,Prevalence of chronic obstructive pulmonary disease among adults >= 18,5.5
2019,Pennsylvania,Prevalence of chronic obstructive pulmonary disease among adults >= 18,6.3
2019,Puerto Rico,Prevalence of chronic obstructive pulmonary disease among adults >= 18,4.5
2019,Rhode Island,Prevalence of chronic obstructive pulmonary disease among adults >= 18,6.2
2019,South Carolina,Prevalence of chronic obstructive pulmonary disease among adults >= 18,7.4
2019,South Dakota,Prevalence of chronic obstructive pulmonary disease among adults >= 18,5.2
2019,Tennessee,Prevalence of chronic obstructive pulmonary disease among adults >= 18,8.9
2019,Texas,Prevalence of chronic obstructive pulmonary disease among adults >= 18,5.1
2019,United States,Prevalence of chronic obstructive pulmonary disease among adults >= 18,6.0
2019,Utah,Prevalence of chronic obstructive pulmonary disease among adults >= 18,4.3
2019,Virgin Islands,Prevalence of chronic obstructive pulmonary disease among adults >= 18,
2019,Virginia,Prevalence of chronic obstructive pulmonary disease among adults >= 18,6.1
2019,Vermont,Prevalence of chronic obstructive pulmonary disease among adults >= 18,5.7
2019,Washington,Prevalence of chronic obstructive pulmonary disease among adults >= 18,4.8
2019,Wisconsin,Prevalence of chronic obstructive pulmonary disease among adults >= 18,4.9
2019,West Virginia,Prevalence of chronic obstructive pulmonary disease among adults >= 18,10.7
2019,Wyoming,Prevalence of chronic obstructive pulmonary disease among adults >= 18,6.0
