,YearStart,LocationDesc,Question,DataValue
86147,2019,Alaska,Prevalence of chronic obstructive pulmonary disease among adults >= 18,4.6
86603,2019,Alabama,Prevalence of chronic obstructive pulmonary disease among adults >= 18,9.9
87776,2019,Arkansas,Prevalence of chronic obstructive pulmonary disease among adults >= 18,10.5
90901,2019,California,Prevalence of chronic obstructive pulmonary disease among adults >= 18,4.4
91030,2019,Arizona,Prevalence of chronic obstructive pulmonary disease among adults >= 18,6.7
91303,2019,Colorado,Prevalence of chronic obstructive pulmonary disease among adults >= 18,4.5
92637,2019,Connecticut,Prevalence of chronic obstructive pulmonary disease among adults >= 18,5.2
94387,2019,District of Columbia,Prevalence of chronic obstructive pulmonary disease among adults >= 18,4.5
95113,2019,Delaware,Prevalence of chronic obstructive pulmonary disease among adults >= 18,8.5
96253,2019,Florida,Prevalence of chronic obstructive pulmonary disease among adults >= 18,7.7
98417,2019,Georgia,Prevalence of chronic obstructive pulmonary disease among adults >= 18,7.4
100056,2019,Guam,Prevalence of chronic obstructive pulmonary disease among adults >= 18,3.2
100950,2019,Hawaii,Prevalence of chronic obstructive pulmonary disease among adults >= 18,4.3
101428,2019,Idaho,Prevalence of chronic obstructive pulmonary disease among adults >= 18,5.1
101572,2019,Iowa,Prevalence of chronic obstructive pulmonary disease among adults >= 18,6.1
103574,2019,Illinois,Prevalence of chronic obstructive pulmonary disease among adults >= 18,5.8
104939,2019,Indiana,Prevalence of chronic obstructive pulmonary disease among adults >= 18,8.7
106333,2019,Kansas,Prevalence of chronic obstructive pulmonary disease among adults >= 18,6.4
108584,2019,Kentucky,Prevalence of chronic obstructive pulmonary disease among adults >= 18,10.8
109161,2019,Louisiana,Prevalence of chronic obstructive pulmonary disease among adults >= 18,8.6
110378,2019,Massachusetts,Prevalence of chronic obstructive pulmonary disease among adults >= 18,4.9
111871,2019,Maryland,Prevalence of chronic obstructive pulmonary disease among adults >= 18,5.4
112967,2019,Maine,Prevalence of chronic obstructive pulmonary disease among adults >= 18,9.2
115308,2019,Minnesota,Prevalence of chronic obstructive pulmonary disease among adults >= 18,4.4
115507,2019,Michigan,Prevalence of chronic obstructive pulmonary disease among adults >= 18,8.4
116164,2019,Missouri,Prevalence of chronic obstructive pulmonary disease among adults >= 18,8.8
117676,2019,Mississippi,Prevalence of chronic obstructive pulmonary disease among adults >= 18,9.4
118781,2019,Montana,Prevalence of chronic obstructive pulmonary disease among adults >= 18,6.8
120874,2019,North Carolina,Prevalence of chronic obstructive pulmonary disease among adults >= 18,7.8
121244,2019,North Dakota,Prevalence of chronic obstructive pulmonary disease among adults >= 18,5.1
122476,2019,Nebraska,Prevalence of chronic obstructive pulmonary disease among adults >= 18,5.7
125035,2019,New Hampshire,Prevalence of chronic obstructive pulmonary disease among adults >= 18,6.1
125591,2019,New Jersey,Prevalence of chronic obstructive pulmonary disease among adults >= 18,
126676,2019,New Mexico,Prevalence of chronic obstructive pulmonary disease among adults >= 18,5.6
127467,2019,Nevada,Prevalence of chronic obstructive pulmonary disease among adults >= 18,8.0
128887,2019,New York,Prevalence of chronic obstructive pulmonary disease among adults >= 18,5.8
130246,2019,Ohio,Prevalence of chronic obstructive pulmonary disease among adults >= 18,9.0
132216,2019,Oklahoma,Prevalence of chronic obstructive pulmonary disease among adults >= 18,8.7
133492,2019,Oregon,Prevalence of chronic obstructive pulmonary disease among adults >= 18,6.1
134031,2019,Pennsylvania,Prevalence of chronic obstructive pulmonary disease among adults >= 18,7.2
136042,2019,Puerto Rico,Prevalence of chronic obstructive pulmonary disease among adults >= 18,4.8
136635,2019,Rhode Island,Prevalence of chronic obstructive pulmonary disease among adults >= 18,6.9
137678,2019,South Carolina,Prevalence of chronic obstructive pulmonary disease among adults >= 18,8.1
139293,2019,South Dakota,Prevalence of chronic obstructive pulmonary disease among adults >= 18,5.9
140047,2019,Texas,Prevalence of chronic obstructive pulmonary disease among adults >= 18,5.2
140725,2019,Tennessee,Prevalence of chronic obstructive pulmonary disease among adults >= 18,9.7
142258,2019,United States,Prevalence of chronic obstructive pulmonary disease among adults >= 18,6.5
143593,2019,Utah,Prevalence of chronic obstructive pulmonary disease among adults >= 18,4.1
145365,2019,Virginia,Prevalence of chronic obstructive pulmonary disease among adults >= 18,6.5
146185,2019,Virgin Islands,Prevalence of chronic obstructive pulmonary disease among adults >= 18,
147405,2019,Vermont,Prevalence of chronic obstructive pulmonary disease among adults >= 18,6.6
147910,2019,Washington,Prevalence of chronic obstructive pulmonary disease among adults >= 18,5.2
149065,2019,Wisconsin,Prevalence of chronic obstructive pulmonary disease among adults >= 18,5.6
151403,2019,West Virginia,Prevalence of chronic obstructive pulmonary disease among adults >= 18,12.3
151759,2019,Wyoming,Prevalence of chronic obstructive pulmonary disease among adults >= 18,6.8
