YearStart,LocationDesc,Question,DataValue
2019,Alaska,Prevalence of diagnosed diabetes among adults aged >= 18 years,7.1
2019,Alabama,Prevalence of diagnosed diabetes among adults aged >= 18 years,12.2
2019,Arkansas,Prevalence of diagnosed diabetes among adults aged >= 18 years,12.2
2019,Arizona,Prevalence of diagnosed diabetes among adults aged >= 18 years,9.8
2019,California,Prevalence of diagnosed diabetes among adults aged >= 18 years,9.4
2019,Connecticut,Prevalence of diagnosed diabetes among adults aged >= 18 years,8.3
2019,Colorado,Prevalence of diagnosed diabetes among adults aged >= 18 years,6.6
2019,District of Columbia,Prevalence of diagnosed diabetes among adults aged >= 18 years,9.4
2019,Delaware,Prevalence of diagnosed diabetes among adults aged >= 18 years,10.9
2019,Florida,Prevalence of diagnosed diabetes among adults aged >= 18 years,9.4
2019,Georgia,Prevalence of diagnosed diabetes among adults aged >= 18 years,11.2
2019,Guam,Prevalence of diagnosed diabetes among adults aged >= 18 years,13.4
2019,Hawaii,Prevalence of diagnosed diabetes among adults aged >= 18 years,9.3
2019,Iowa,Prevalence of diagnosed diabetes among adults aged >= 18 years,9.1
2019,Idaho,Prevalence of diagnosed diabetes among adults aged >= 18 years,9.3
2019,Indiana,Prevalence of diagnosed diabetes among adults aged >= 18 years,11.2
2019,Illinois,Prevalence of diagnosed diabetes among adults aged >= 18 years,10.0
2019,Kansas,Prevalence of diagnosed diabetes among adults aged >= 18 years,9.8
2019,Kentucky,Prevalence of diagnosed diabetes among adults aged >= 18 years,11.7
2019,Louisiana,Prevalence of diagnosed diabetes among adults aged >= 18 years,11.4
2019,Massachusetts,Prevalence of diagnosed diabetes among adults aged >= 18 years,7.4
2019,Maryland,Prevalence of diagnosed diabetes among adults aged >= 18 years,9.8
2019,Maine,Prevalence of diagnosed diabetes among adults aged >= 18 years,8.7
2019,Michigan,Prevalence of diagnosed diabetes among adults aged >= 18 years,9.6
2019,Minnesota,Prevalence of diagnosed diabetes among adults aged >= 18 years,7.8
2019,Missouri,Prevalence of diagnosed diabetes among adults aged >= 18 years,9.0
2019,Mississippi,Prevalence of diagnosed diabetes among adults aged >= 18 years,13.4
2019,Montana,Prevalence of diagnosed diabetes among adults aged >= 18 years,6.4
2019,North Carolina,Prevalence of diagnosed diabetes among adults aged >= 18 years,10.6
2019,North Dakota,Prevalence of diagnosed diabetes among adults aged >= 18 years,8.3
2019,Nebraska,Prevalence of diagnosed diabetes among adults aged >= 18 years,9.2
2019,New Hampshire,Prevalence of diagnosed diabetes among adults aged >= 18 years,8.0
2019,New Jersey,Prevalence of diagnosed diabetes among adults aged >= 18 years,
2019,New Mexico,Prevalence of diagnosed diabetes among adults aged >= 18 years,11.0
2019,Nevada,Prevalence of diagnosed diabetes among adults aged >= 18 years,9.9
2019,New York,Prevalence of diagnosed diabetes among adults aged >= 18 years,9.4
2019,Ohio,Prevalence of diagnosed diabetes among adults aged >= 18 years,10.3
2019,Oklahoma,Prevalence of diagnosed diabetes among adults aged >= 18 years,11.1
2019,Oregon,Prevalence of diagnosed diabetes among adults aged >= 18 years,7.5
2019,Pennsylvania,Prevalence of diagnosed diabetes among adults aged >= 18 years,9.2
2019,Puerto Rico,Prevalence of diagnosed diabetes among adults aged >= 18 years,14.5
2019,Rhode Island,Prevalence of diagnosed diabetes among adults aged >= 18 years,9.1
2019,South Carolina,Prevalence of diagnosed diabetes among adults aged >= 18 years,11.6
2019,South Dakota,Prevalence of diagnosed diabetes among adults aged >= 18 years,9.3
2019,Tennessee,Prevalence of diagnosed diabetes among adults aged >= 18 years,12.1
2019,Texas,Prevalence of diagnosed diabetes among adults aged >= 18 years,11.9
2019,United States,Prevalence of diagnosed diabetes among adults aged >= 18 years,9.4
2019,Utah,Prevalence of diagnosed diabetes among adults aged >= 18 years,8.3
2019,Virginia,Prevalence of diagnosed diabetes among adults aged >= 18 years,9.9
2019,Virgin Islands,Prevalence of diagnosed diabetes among adults aged >= 18 years,
2019,Vermont,Prevalence of diagnosed diabetes among adults aged >= 18 years,7.4
2019,Washington,Prevalence of diagnosed diabetes among adults aged >= 18 years,8.5
2019,Wisconsin,Prevalence of diagnosed diabetes among adults aged >= 18 years,7.5
2019,West Virginia,Prevalence of diagnosed diabetes among adults aged >= 18 years,13.1
2019,Wyoming,Prevalence of diagnosed diabetes among adults aged >= 18 years,6.8
