,YearStart,LocationDesc,Question,DataValue
42906,2019,Alaska,Prevalence of diagnosed diabetes among adults aged >= 18 years,7.3
45435,2019,Alabama,Prevalence of diagnosed diabetes among adults aged >= 18 years,14.0
48886,2019,Arkansas,Prevalence of diagnosed diabetes among adults aged >= 18 years,13.6
49391,2019,Arizona,Prevalence of diagnosed diabetes among adults aged >= 18 years,10.9
51587,2019,California,Prevalence of diagnosed diabetes among adults aged >= 18 years,10.1
54152,2019,Connecticut,Prevalence of diagnosed diabetes among adults aged >= 18 years,9.6
55072,2019,Colorado,Prevalence of diagnosed diabetes among adults aged >= 18 years,7.0
58233,2019,District of Columbia,Prevalence of diagnosed diabetes among adults aged >= 18 years,8.7
61400,2019,Delaware,Prevalence of diagnosed diabetes among adults aged >= 18 years,12.8
63263,2019,Florida,Prevalence of diagnosed diabetes among adults aged >= 18 years,11.7
64691,2019,Georgia,Prevalence of diagnosed diabetes among adults aged >= 18 years,12.0
66990,2019,Guam,Prevalence of diagnosed diabetes among adults aged >= 18 years,11.7
69773,2019,Hawaii,Prevalence of diagnosed diabetes among adults aged >= 18 years,10.5
70467,2019,Iowa,Prevalence of diagnosed diabetes among adults aged >= 18 years,10.3
73625,2019,Idaho,Prevalence of diagnosed diabetes among adults aged >= 18 years,10.3
76338,2019,Indiana,Prevalence of diagnosed diabetes among adults aged >= 18 years,12.4
76566,2019,Illinois,Prevalence of diagnosed diabetes among adults aged >= 18 years,11.3
80169,2019,Kansas,Prevalence of diagnosed diabetes among adults aged >= 18 years,10.8
81236,2019,Kentucky,Prevalence of diagnosed diabetes among adults aged >= 18 years,13.3
82525,2019,Louisiana,Prevalence of diagnosed diabetes among adults aged >= 18 years,12.6
85769,2019,Massachusetts,Prevalence of diagnosed diabetes among adults aged >= 18 years,8.4
87049,2019,Maryland,Prevalence of diagnosed diabetes among adults aged >= 18 years,11.0
90597,2019,Maine,Prevalence of diagnosed diabetes among adults aged >= 18 years,10.6
93101,2019,Michigan,Prevalence of diagnosed diabetes among adults aged >= 18 years,11.1
93795,2019,Minnesota,Prevalence of diagnosed diabetes among adults aged >= 18 years,8.8
98387,2019,Mississippi,Prevalence of diagnosed diabetes among adults aged >= 18 years,14.8
98729,2019,Missouri,Prevalence of diagnosed diabetes among adults aged >= 18 years,10.3
99617,2019,Montana,Prevalence of diagnosed diabetes among adults aged >= 18 years,7.6
102665,2019,North Carolina,Prevalence of diagnosed diabetes among adults aged >= 18 years,11.8
104714,2019,North Dakota,Prevalence of diagnosed diabetes among adults aged >= 18 years,8.9
107409,2019,Nebraska,Prevalence of diagnosed diabetes among adults aged >= 18 years,10.2
108149,2019,New Hampshire,Prevalence of diagnosed diabetes among adults aged >= 18 years,9.2
110689,2019,New Jersey,Prevalence of diagnosed diabetes among adults aged >= 18 years,
113573,2019,New Mexico,Prevalence of diagnosed diabetes among adults aged >= 18 years,12.3
115781,2019,Nevada,Prevalence of diagnosed diabetes among adults aged >= 18 years,10.9
116718,2019,New York,Prevalence of diagnosed diabetes among adults aged >= 18 years,10.5
120860,2019,Ohio,Prevalence of diagnosed diabetes among adults aged >= 18 years,12.0
122039,2019,Oklahoma,Prevalence of diagnosed diabetes among adults aged >= 18 years,12.2
123351,2019,Oregon,Prevalence of diagnosed diabetes among adults aged >= 18 years,8.6
124614,2019,Pennsylvania,Prevalence of diagnosed diabetes among adults aged >= 18 years,10.8
128182,2019,Puerto Rico,Prevalence of diagnosed diabetes among adults aged >= 18 years,16.7
129299,2019,Rhode Island,Prevalence of diagnosed diabetes among adults aged >= 18 years,10.4
131145,2019,South Carolina,Prevalence of diagnosed diabetes among adults aged >= 18 years,13.4
133658,2019,South Dakota,Prevalence of diagnosed diabetes among adults aged >= 18 years,10.6
137289,2019,Tennessee,Prevalence of diagnosed diabetes among adults aged >= 18 years,13.8
137508,2019,United States,Prevalence of diagnosed diabetes among adults aged >= 18 years,10.7
139898,2019,Texas,Prevalence of diagnosed diabetes among adults aged >= 18 years,12.2
140668,2019,Utah,Prevalence of diagnosed diabetes among adults aged >= 18 years,8.0
143494,2019,Virginia,Prevalence of diagnosed diabetes among adults aged >= 18 years,10.9
144539,2019,Virgin Islands,Prevalence of diagnosed diabetes among adults aged >= 18 years,
147603,2019,Vermont,Prevalence of diagnosed diabetes among adults aged >= 18 years,8.7
148005,2019,Washington,Prevalence of diagnosed diabetes among adults aged >= 18 years,9.4
151539,2019,Wisconsin,Prevalence of diagnosed diabetes among adults aged >= 18 years,8.7
152774,2019,West Virginia,Prevalence of diagnosed diabetes among adults aged >= 18 years,15.7
156555,2019,Wyoming,Prevalence of diagnosed diabetes among adults aged >= 18 years,7.8
