YearStart,LocationDesc,Question,DataValue
2019,Alaska,Influenza vaccination among noninstitutionalized adults aged >= 18 years,37.0
2019,Alabama,Influenza vaccination among noninstitutionalized adults aged >= 18 years,39.5
2019,Arkansas,Influenza vaccination among noninstitutionalized adults aged >= 18 years,40.1
2019,Arizona,Influenza vaccination among noninstitutionalized adults aged >= 18 years,37.1
2019,California,Influenza vaccination among noninstitutionalized adults aged >= 18 years,40.7
2019,Connecticut,Influenza vaccination among noninstitutionalized adults aged >= 18 years,47.1
2019,Colorado,Influenza vaccination among noninstitutionalized adults aged >= 18 years,45.6
2019,District of Columbia,Influenza vaccination among noninstitutionalized adults aged >= 18 years,48.7
2019,Delaware,Influenza vaccination among noninstitutionalized adults aged >= 18 years,40.9
2019,Florida,Influenza vaccination among noninstitutionalized adults aged >= 18 years,33.3
2019,Georgia,Influenza vaccination among noninstitutionalized adults aged >= 18 years,34.9
2019,Guam,Influenza vaccination among noninstitutionalized adults aged >= 18 years,31.7
2019,Hawaii,Influenza vaccination among noninstitutionalized adults aged >= 18 years,42.1
2019,Iowa,Influenza vaccination among noninstitutionalized adults aged >= 18 years,46.7
2019,Idaho,Influenza vaccination among noninstitutionalized adults aged >= 18 years,36.5
2019,Illinois,Influenza vaccination among noninstitutionalized adults aged >= 18 years,37.3
2019,Indiana,Influenza vaccination among noninstitutionalized adults aged >= 18 years,40.3
2019,Kansas,Influenza vaccination among noninstitutionalized adults aged >= 18 years,44.6
2019,Kentucky,Influenza vaccination among noninstitutionalized adults aged >= 18 years,40.2
2019,Louisiana,Influenza vaccination among noninstitutionalized adults aged >= 18 years,36.8
2019,Massachusetts,Influenza vaccination among noninstitutionalized adults aged >= 18 years,48.9
2019,Maryland,Influenza vaccination among noninstitutionalized adults aged >= 18 years,47.9
2019,Maine,Influenza vaccination among noninstitutionalized adults aged >= 18 years,42.6
2019,Michigan,Influenza vaccination among noninstitutionalized adults aged >= 18 years,38.2
2019,Minnesota,Influenza vaccination among noninstitutionalized adults aged >= 18 years,44.5
2019,Missouri,Influenza vaccination among noninstitutionalized adults aged >= 18 years,43.8
2019,Montana,Influenza vaccination among noninstitutionalized adults aged >= 18 years,40.6
2019,Mississippi,Influenza vaccination among noninstitutionalized adults aged >= 18 years,37.3
2019,North Carolina,Influenza vaccination among noninstitutionalized adults aged >= 18 years,47.1
2019,North Dakota,Influenza vaccination among noninstitutionalized adults aged >= 18 years,46.1
2019,Nebraska,Influenza vaccination among noninstitutionalized adults aged >= 18 years,47.6
2019,New Hampshire,Influenza vaccination among noninstitutionalized adults aged >= 18 years,45.4
2019,New Jersey,Influenza vaccination among noninstitutionalized adults aged >= 18 years,
2019,New Mexico,Influenza vaccination among noninstitutionalized adults aged >= 18 years,40.7
2019,Nevada,Influenza vaccination among noninstitutionalized adults aged >= 18 years,30.7
2019,New York,Influenza vaccination among noninstitutionalized adults aged >= 18 years,43.5
2019,Oklahoma,Influenza vaccination among noninstitutionalized adults aged >= 18 years,42.9
2019,Ohio,Influenza vaccination among noninstitutionalized adults aged >= 18 years,40.4
2019,Oregon,Influenza vaccination among noninstitutionalized adults aged >= 18 years,40.6
2019,Pennsylvania,Influenza vaccination among noninstitutionalized adults aged >= 18 years,45.2
2019,Puerto Rico,Influenza vaccination among noninstitutionalized adults aged >= 18 years,24.2
2019,Rhode Island,Influenza vaccination among noninstitutionalized adults aged >= 18 years,48.8
2019,South Carolina,Influenza vaccination among noninstitutionalized adults aged >= 18 years,40.0
2019,South Dakota,Influenza vaccination among noninstitutionalized adults aged >= 18 years,47.0
2019,Tennessee,Influenza vaccination among noninstitutionalized adults aged >= 18 years,38.8
2019,United States,Influenza vaccination among noninstitutionalized adults aged >= 18 years,41.4
2019,Texas,Influenza vaccination among noninstitutionalized adults aged >= 18 years,39.4
2019,Utah,Influenza vaccination among noninstitutionalized adults aged >= 18 years,41.8
2019,Virginia,Influenza vaccination among noninstitutionalized adults aged >= 18 years,46.8
2019,Virgin Islands,Influenza vaccination among noninstitutionalized adults aged >= 18 years,
2019,Vermont,Influenza vaccination among noninstitutionalized adults aged >= 18 years,44.8
2019,Wisconsin,Influenza vaccination among noninstitutionalized adults aged >= 18 years,44.3
2019,Washington,Influenza vaccination among noninstitutionalized adults aged >= 18 years,46.7
2019,West Virginia,Influenza vaccination among noninstitutionalized adults aged >= 18 years,40.9
2019,Wyoming,Influenza vaccination among noninstitutionalized adults aged >= 18 years,34.7
