,YearStart,LocationDesc,Question,DataValue
132,2019,Alaska,Influenza vaccination among noninstitutionalized adults aged >= 18 years,37.4
327,2019,Alabama,Influenza vaccination among noninstitutionalized adults aged >= 18 years,42.1
517,2019,Arkansas,Influenza vaccination among noninstitutionalized adults aged >= 18 years,42.1
638,2019,Arizona,Influenza vaccination among noninstitutionalized adults aged >= 18 years,39.6
788,2019,California,Influenza vaccination among noninstitutionalized adults aged >= 18 years,41.4
1002,2019,Colorado,Influenza vaccination among noninstitutionalized adults aged >= 18 years,46.4
1186,2019,Connecticut,Influenza vaccination among noninstitutionalized adults aged >= 18 years,49.7
1381,2019,District of Columbia,Influenza vaccination among noninstitutionalized adults aged >= 18 years,48.4
1395,2019,Delaware,Influenza vaccination among noninstitutionalized adults aged >= 18 years,43.8
1636,2019,Florida,Influenza vaccination among noninstitutionalized adults aged >= 18 years,36.9
1932,2019,Georgia,Influenza vaccination among noninstitutionalized adults aged >= 18 years,36.2
2047,2019,Guam,Influenza vaccination among noninstitutionalized adults aged >= 18 years,30.6
2167,2019,Hawaii,Influenza vaccination among noninstitutionalized adults aged >= 18 years,43.7
2407,2019,Iowa,Influenza vaccination among noninstitutionalized adults aged >= 18 years,48.3
2534,2019,Idaho,Influenza vaccination among noninstitutionalized adults aged >= 18 years,38.2
2686,2019,Illinois,Influenza vaccination among noninstitutionalized adults aged >= 18 years,38.8
2868,2019,Indiana,Influenza vaccination among noninstitutionalized adults aged >= 18 years,42.1
3068,2019,Kansas,Influenza vaccination among noninstitutionalized adults aged >= 18 years,46.2
3223,2019,Kentucky,Influenza vaccination among noninstitutionalized adults aged >= 18 years,42.1
3440,2019,Louisiana,Influenza vaccination among noninstitutionalized adults aged >= 18 years,38.7
3681,2019,Massachusetts,Influenza vaccination among noninstitutionalized adults aged >= 18 years,50.5
3805,2019,Maryland,Influenza vaccination among noninstitutionalized adults aged >= 18 years,49.6
4063,2019,Maine,Influenza vaccination among noninstitutionalized adults aged >= 18 years,46.4
4119,2019,Michigan,Influenza vaccination among noninstitutionalized adults aged >= 18 years,40.4
4370,2019,Minnesota,Influenza vaccination among noninstitutionalized adults aged >= 18 years,45.7
4585,2019,Missouri,Influenza vaccination among noninstitutionalized adults aged >= 18 years,46.0
4641,2019,Mississippi,Influenza vaccination among noninstitutionalized adults aged >= 18 years,39.4
4861,2019,Montana,Influenza vaccination among noninstitutionalized adults aged >= 18 years,42.9
5000,2019,North Carolina,Influenza vaccination among noninstitutionalized adults aged >= 18 years,49.2
5163,2019,North Dakota,Influenza vaccination among noninstitutionalized adults aged >= 18 years,47.3
5286,2019,Nebraska,Influenza vaccination among noninstitutionalized adults aged >= 18 years,49.0
5502,2019,New Hampshire,Influenza vaccination among noninstitutionalized adults aged >= 18 years,47.7
5807,2019,New Jersey,Influenza vaccination among noninstitutionalized adults aged >= 18 years,
5932,2019,New Mexico,Influenza vaccination among noninstitutionalized adults aged >= 18 years,43.1
6046,2019,Nevada,Influenza vaccination among noninstitutionalized adults aged >= 18 years,32.5
6345,2019,New York,Influenza vaccination among noninstitutionalized adults aged >= 18 years,44.9
6387,2019,Oklahoma,Influenza vaccination among noninstitutionalized adults aged >= 18 years,44.8
6652,2019,Ohio,Influenza vaccination among noninstitutionalized adults aged >= 18 years,42.8
6731,2019,Oregon,Influenza vaccination among noninstitutionalized adults aged >= 18 years,42.8
6902,2019,Pennsylvania,Influenza vaccination among noninstitutionalized adults aged >= 18 years,48.1
7151,2019,Puerto Rico,Influenza vaccination among noninstitutionalized adults aged >= 18 years,25.3
7322,2019,Rhode Island,Influenza vaccination among noninstitutionalized adults aged >= 18 years,50.4
7485,2019,South Carolina,Influenza vaccination among noninstitutionalized adults aged >= 18 years,42.6
7669,2019,South Dakota,Influenza vaccination among noninstitutionalized adults aged >= 18 years,48.5
7886,2019,Tennessee,Influenza vaccination among noninstitutionalized adults aged >= 18 years,41.2
8098,2019,United States,Influenza vaccination among noninstitutionalized adults aged >= 18 years,43.7
8117,2019,Texas,Influenza vaccination among noninstitutionalized adults aged >= 18 years,40.0
8257,2019,Utah,Influenza vaccination among noninstitutionalized adults aged >= 18 years,41.5
8457,2019,Virginia,Influenza vaccination among noninstitutionalized adults aged >= 18 years,47.9
8599,2019,Virgin Islands,Influenza vaccination among noninstitutionalized adults aged >= 18 years,
8760,2019,Vermont,Influenza vaccination among noninstitutionalized adults aged >= 18 years,47.6
9043,2019,Washington,Influenza vaccination among noninstitutionalized adults aged >= 18 years,48.3
9108,2019,Wisconsin,Influenza vaccination among noninstitutionalized adults aged >= 18 years,46.1
9350,2019,West Virginia,Influenza vaccination among noninstitutionalized adults aged >= 18 years,44.3
9390,2019,Wyoming,Influenza vaccination among noninstitutionalized adults aged >= 18 years,36.5
