State or DC,,,,
GeoFips,GeoName,2020,2021,2022
1000,Alabama,2671005,2769464,2869931
2000,Alaska,430840,443047,457687
4000,Arizona,3920033,4086802,4287595
5000,Arkansas,1639829,1686444,1755536
6000,California,23154091,23934549,25300974
8000,Colorado,3821481,3988907,4187944
9000,Connecticut,2217432,2289551,2391946
10000,Delaware,592126,620352,651224
11000,District of Columbia,866085,869738,904759
12000,Florida,12719592,13458025,14227252
13000,Georgia,6326647,6639656,6971461
15000,Hawaii,817697,861096,903622
16000,Idaho,1077864,1137618,1190624
17000,Illinois,7519019,7749727,8094358
18000,Indiana,3843114,3978425,4140665
19000,Iowa,2009821,2053873,2113995
20000,Kansas,1878887,1920925,1982258
21000,Kentucky,2471693,2558304,2658979
22000,Louisiana,2592841,2694974,2784711
23000,Maine,813101,849493,877326
24000,Maryland,3621705,3750161,3886891
25000,Massachusetts,4600264,4777326,5002244
26000,Michigan,5387741,5601637,5864009
27000,Minnesota,3607496,3711807,3844786
28000,Mississippi,1573290,1625695,1674142
29000,Missouri,3692620,3796384,3934395
30000,Montana,684052,716176,746194
31000,Nebraska,1305651,1334434,1372111
32000,Nevada,1770886,1912872,2061871
33000,New Hampshire,858471,894739,933022
34000,New Jersey,5319454,5585214,5905843
35000,New Mexico,1069531,1092639,1139488
36000,New York,11871619,12227874,12892046
37000,North Carolina,6054937,6318605,6602041
38000,North Dakota,560448,567834,587819
39000,Ohio,6852979,7048306,7305177
40000,Oklahoma,2266945,2314387,2412886
41000,Oregon,2493432,2559698,2658285
42000,Pennsylvania,7412855,7650343,7978320
44000,Rhode Island,615668,640257,668802
45000,South Carolina,2825233,2938337,3067127
46000,South Dakota,606246,625510,647960
47000,Tennessee,4121045,4301472,4506394
48000,Texas,17700743,18559325,19631436
49000,Utah,2135748,2250031,2367996
50000,Vermont,409316,421226,436306
51000,Virginia,5224726,5392698,5599585
53000,Washington,4435738,4576236,4815623
54000,West Virginia,840864,864509,890610
55000,Wisconsin,3581998,3684969,3819180
56000,Wyoming,401701,420429,436564
