,YearStart,LocationDesc,Question,DataValue
29319,2019,Alaska,Current asthma prevalence among adults aged >= 18 years,9.7
30178,2019,Alabama,Current asthma prevalence among adults aged >= 18 years,9.4
31698,2019,Arkansas,Current asthma prevalence among adults aged >= 18 years,9.3
31942,2019,Arizona,Current asthma prevalence among adults aged >= 18 years,9.8
32863,2019,California,Current asthma prevalence among adults aged >= 18 years,7.8
34070,2019,Colorado,Current asthma prevalence among adults aged >= 18 years,9.7
35345,2019,Connecticut,Current asthma prevalence among adults aged >= 18 years,10.8
36127,2019,District of Columbia,Current asthma prevalence among adults aged >= 18 years,11.1
36899,2019,Delaware,Current asthma prevalence among adults aged >= 18 years,9.8
37510,2019,Florida,Current asthma prevalence among adults aged >= 18 years,7.3
39374,2019,Georgia,Current asthma prevalence among adults aged >= 18 years,7.6
40138,2019,Guam,Current asthma prevalence among adults aged >= 18 years,5.2
40411,2019,Hawaii,Current asthma prevalence among adults aged >= 18 years,9.7
41522,2019,Iowa,Current asthma prevalence among adults aged >= 18 years,8.1
42530,2019,Idaho,Current asthma prevalence among adults aged >= 18 years,9.9
43859,2019,Illinois,Current asthma prevalence among adults aged >= 18 years,8.3
44881,2019,Indiana,Current asthma prevalence among adults aged >= 18 years,9.8
45038,2019,Kansas,Current asthma prevalence among adults aged >= 18 years,10.0
46814,2019,Kentucky,Current asthma prevalence among adults aged >= 18 years,9.3
47350,2019,Louisiana,Current asthma prevalence among adults aged >= 18 years,7.8
47985,2019,Massachusetts,Current asthma prevalence among adults aged >= 18 years,10.3
49209,2019,Maryland,Current asthma prevalence among adults aged >= 18 years,9.1
50130,2019,Maine,Current asthma prevalence among adults aged >= 18 years,12.4
50509,2019,Michigan,Current asthma prevalence among adults aged >= 18 years,11.3
52397,2019,Minnesota,Current asthma prevalence among adults aged >= 18 years,8.3
52512,2019,Missouri,Current asthma prevalence among adults aged >= 18 years,10.2
54058,2019,Mississippi,Current asthma prevalence among adults aged >= 18 years,9.8
54904,2019,Montana,Current asthma prevalence among adults aged >= 18 years,10.0
56084,2019,North Carolina,Current asthma prevalence among adults aged >= 18 years,8.2
56473,2019,North Dakota,Current asthma prevalence among adults aged >= 18 years,8.2
57379,2019,Nebraska,Current asthma prevalence among adults aged >= 18 years,8.1
59085,2019,New Hampshire,Current asthma prevalence among adults aged >= 18 years,11.3
59470,2019,New Jersey,Current asthma prevalence among adults aged >= 18 years,
61124,2019,New Mexico,Current asthma prevalence among adults aged >= 18 years,8.3
61277,2019,Nevada,Current asthma prevalence among adults aged >= 18 years,9.3
62876,2019,New York,Current asthma prevalence among adults aged >= 18 years,9.3
62976,2019,Ohio,Current asthma prevalence among adults aged >= 18 years,11.3
64168,2019,Oklahoma,Current asthma prevalence among adults aged >= 18 years,10.3
64852,2019,Oregon,Current asthma prevalence among adults aged >= 18 years,11.2
66348,2019,Pennsylvania,Current asthma prevalence among adults aged >= 18 years,11.2
67602,2019,Puerto Rico,Current asthma prevalence among adults aged >= 18 years,10.6
68476,2019,Rhode Island,Current asthma prevalence among adults aged >= 18 years,11.2
69256,2019,South Carolina,Current asthma prevalence among adults aged >= 18 years,9.6
70385,2019,Tennessee,Current asthma prevalence among adults aged >= 18 years,8.8
71122,2019,South Dakota,Current asthma prevalence among adults aged >= 18 years,8.5
71427,2019,Texas,Current asthma prevalence among adults aged >= 18 years,7.0
72838,2019,United States,Current asthma prevalence among adults aged >= 18 years,9.7
73059,2019,Virginia,Current asthma prevalence among adults aged >= 18 years,8.8
74530,2019,Utah,Current asthma prevalence among adults aged >= 18 years,9.8
74824,2019,Virgin Islands,Current asthma prevalence among adults aged >= 18 years,
76328,2019,Vermont,Current asthma prevalence among adults aged >= 18 years,12.1
77063,2019,Washington,Current asthma prevalence among adults aged >= 18 years,9.9
77708,2019,Wisconsin,Current asthma prevalence among adults aged >= 18 years,10.2
78762,2019,West Virginia,Current asthma prevalence among adults aged >= 18 years,11.6
79745,2019,Wyoming,Current asthma prevalence among adults aged >= 18 years,9.5
