Location,Employment_2020,Employment_2021,Employment_2022
Alabama,2671005,2769464,2869931
Alaska,430840,443047,457687
Arizona,3920033,4086802,4287595
Arkansas,1639829,1686444,1755536
California,23154091,23934549,25300974
Colorado,3821481,3988907,4187944
Connecticut,2217432,2289551,2391946
Delaware,592126,620352,651224
District of Columbia,866085,869738,904759
Florida,12719592,13458025,14227252
Georgia,6326647,6639656,6971461
Hawaii,817697,861096,903622
Idaho,1077864,1137618,1190624
Illinois,7519019,7749727,8094358
Indiana,3843114,3978425,4140665
Iowa,2009821,2053873,2113995
Kansas,1878887,1920925,1982258
Kentucky,2471693,2558304,2658979
Louisiana,2592841,2694974,2784711
Maine,813101,849493,877326
Maryland,3621705,3750161,3886891
Massachusetts,4600264,4777326,5002244
Michigan,5387741,5601637,5864009
Minnesota,3607496,3711807,3844786
Mississippi,1573290,1625695,1674142
Missouri,3692620,3796384,3934395
Montana,684052,716176,746194
Nebraska,1305651,1334434,1372111
Nevada,1770886,1912872,2061871
New Hampshire,858471,894739,933022
New Jersey,5319454,5585214,5905843
New Mexico,1069531,1092639,1139488
New York,11871619,12227874,12892046
North Carolina,6054937,6318605,6602041
North Dakota,560448,567834,587819
Ohio,6852979,7048306,7305177
Oklahoma,2266945,2314387,2412886
Oregon,2493432,2559698,2658285
Pennsylvania,7412855,7650343,7978320
Rhode Island,615668,640257,668802
South Carolina,2825233,2938337,3067127
South Dakota,606246,625510,647960
Tennessee,4121045,4301472,4506394
Texas,17700743,18559325,19631436
Utah,2135748,2250031,2367996
Vermont,409316,421226,436306
Virginia,5224726,5392698,5599585
Washington,4435738,4576236,4815623
West Virginia,840864,864509,890610
Wisconsin,3581998,3684969,3819180
Wyoming,401701,420429,436564
