,Location,Mask_Mandate,Mandatory
0,Alabama,07/16/2020,Yes
1,Alaska,,No
2,Arizona,,No
3,Arkansas,07/20/2020,Yes
4,California,07/18/2020,Yes
5,Colorado,07/17/2020,Yes
6,Connecticut,04/17/2020,Yes
7,Delaware,09/16/2020,Yes
8,District of Columbia,07/22/2020,Yes
9,Florida,,No
10,Georgia,,No
11,Hawaii,03/16/2020,Yes
12,Idaho,,No
13,Illinois,6/26/2020,Yes
14,Indiana,07/27/2020,Yes
15,Iowa,11/17/2020,Yes
16,Kansas,07/02/2020,Yes
17,Kentucky,07/09/2020,Yes
18,Louisiana,07/11/2020,Yes
19,Maine,05/01/2020,Yes
20,Maryland,07/31/2020,Yes
21,Massachusetts,05/06/2020,Yes
22,Michigan,10/05/2020,Yes
23,Minnesota,07/25/2020,Yes
24,Mississippi,,No
25,Missouri,,No
26,Montana,07/15/2020,Yes
27,Nebraska,,No
28,Nevada,06/24/2020,Yes
29,New Hampshire,11/20/2020,Yes
30,New Jersey,07-08-2020,Yes
31,New Mexico,05/16/2020,Yes
32,New York,04/17/2020,Yes
33,North Carolina,06/24/2020,Yes
34,North Dakota,11/14/2020,Yes
35,Ohio,07/23/2020,Yes
36,Oklahoma,,No
37,Oregon,07/01/2020,Yes
38,Pennsylvania,07/01/2020,Yes
39,Rhode Island,05-08-2020,Yes
40,South Carolina,,No
41,South Dakota,,No
42,Tennessee,,No
43,Texas,07/03/2020,Yes
44,Utah,11/09/2020,Yes
45,Vermont,08/01/2020,Yes
46,Virginia,05/26/2020,Yes
47,Washington,06/26/2020,Yes
48,West Virginia,06/06/2020,Yes
49,Wisconsin,08/01/2020,Yes
50,Wyoming,,No
51,Puerto Rico,,No
