,countyFIPS,County Name,State
0,0,Statewide Unallocated,AL
1,1001,Autauga County ,AL
2,1003,Baldwin County ,AL
3,1005,Barbour County ,AL
4,1007,Bibb County ,AL
5,1009,Blount County ,AL
6,1011,Bullock County ,AL
7,1013,Butler County ,AL
8,1015,Calhoun County ,AL
9,1017,Chambers County ,AL
10,1019,Cherokee County ,AL
11,1021,Chilton County ,AL
12,1023,Choctaw County ,AL
13,1025,Clarke County ,AL
14,1027,Clay County ,AL
15,1029,Cleburne County ,AL
16,1031,Coffee County ,AL
17,1033,Colbert County ,AL
18,1035,Conecuh County ,AL
19,1037,Coosa County ,AL
20,1039,Covington County ,AL
21,1041,Crenshaw County ,AL
22,1043,Cullman County ,AL
23,1045,Dale County ,AL
24,1047,Dallas County ,AL
25,1049,DeKalb County ,AL
26,1051,Elmore County ,AL
27,1053,Escambia County ,AL
28,1055,Etowah County ,AL
29,1057,Fayette County ,AL
30,1059,Franklin County ,AL
31,1061,Geneva County ,AL
32,1063,Greene County ,AL
33,1065,Hale County ,AL
34,1067,Henry County ,AL
35,1069,Houston County ,AL
36,1071,Jackson County ,AL
37,1073,Jefferson County ,AL
38,1075,Lamar County ,AL
39,1077,Lauderdale County ,AL
40,1079,Lawrence County ,AL
41,1081,Lee County ,AL
42,1083,Limestone County ,AL
43,1085,Lowndes County ,AL
44,1087,Macon County ,AL
45,1089,Madison County ,AL
46,1091,Marengo County ,AL
47,1093,Marion County ,AL
48,1095,Marshall County ,AL
49,1097,Mobile County ,AL
50,1099,Monroe County ,AL
51,1101,Montgomery County ,AL
52,1103,Morgan County ,AL
53,1105,Perry County ,AL
54,1107,Pickens County ,AL
55,1109,Pike County ,AL
56,1111,Randolph County ,AL
57,1113,Russell County ,AL
58,1115,St. Clair County ,AL
59,1117,Shelby County ,AL
60,1119,Sumter County ,AL
61,1121,Talladega County ,AL
62,1123,Tallapoosa County ,AL
63,1125,Tuscaloosa County ,AL
64,1127,Walker County ,AL
65,1129,Washington County ,AL
66,1131,Wilcox County ,AL
67,1133,Winston County ,AL
68,0,Statewide Unallocated,AK
69,2013,Aleutians East Borough ,AK
70,2016,Aleutians West Census Area ,AK
71,2020,Municipality of Anchorage,AK
72,2050,Bethel Census Area ,AK
73,2060,Bristol Bay Borough ,AK
74,2068,Denali Borough ,AK
75,2070,Dillingham Census Area ,AK
76,2090,Fairbanks North Star Borough ,AK
77,2100,Haines Borough ,AK
78,2105,Hoonah-Angoon Census Area ,AK
79,2110,City and Borough of Juneau,AK
80,2122,Kenai Peninsula Borough ,AK
81,2130,Ketchikan Gateway Borough ,AK
82,2150,Kodiak Island Borough ,AK
