State,County,Count
AL,Autauga County,267
AL,Baldwin County,267
AL,Barbour County,615
AL,Bibb County,267
AL,Blount County,267
AL,Bullock County,267
AL,Butler County,1720
AL,Calhoun County,2175
AL,Chambers County,517
AL,Cherokee County,1192
AL,Chilton County,267
AL,Choctaw County,421
AL,Clarke County,838
AL,Clay County,3221
AL,Cleburne County,521
AL,Coffee County,267
AL,Colbert County,267
AL,Conecuh County,267
AL,Coosa County,267
AL,Covington County,451
AL,Crenshaw County,267
AL,Cullman County,267
AL,Dale County,267
AL,Dallas County,853
AL,DeKalb County,926
AL,Elmore County,267
AL,Escambia County,267
AL,Etowah County,267
AL,Fayette County,2691
AL,Franklin County,5646
AL,Geneva County,267
AL,Greene County,3244
AL,Hale County,517
AL,Henry County,2009
AL,Houston County,811
AL,Jackson County,4891
AL,Jefferson County,5265
AL,Lamar County,717
AL,Lauderdale County,435
AL,Lawrence County,2373
AL,Lee County,2459
AL,Limestone County,517
AL,Lowndes County,423
AL,Macon County,995
AL,Madison County,3673
AL,Marengo County,267
AL,Marion County,3286
AL,Marshall County,2439
AL,Mobile County,267
AL,Monroe County,3937
AL,Montgomery County,4554
AL,Morgan County,2363
AL,Perry County,2419
AL,Pickens County,267
AL,Pike County,2391
AL,Randolph County,1850
AL,Russell County,1225
AL,St. Clair County,1092
AL,Shelby County,1908
AL,Sumter County,267
AL,Talladega County,267
AL,Tallapoosa County,267
AL,Tuscaloosa County,267
AL,Walker County,517
AL,Washington County,7001
AL,Wilcox County,267
AL,Winston County,439
AR,Arkansas County,254
AR,Ashley County,254
AR,Baxter County,254
AR,Benton County,1837
AR,Boone County,1679
AR,Bradley County,254
AR,Carroll County,2720
AR,Chicot County,254
AR,Clark County,2910
AR,Cleveland County,576
AR,Columbia County,2148
AR,Conway County,254
AR,Craighead County,254
AR,Crawford County,2676
AR,Crittenden County,590
AR,Cross County,254
AR,Desha County,254
AR,Drew County,254
AR,Faulkner County,254
AR,Fulton County,2432
AR,Garland County,254
AR,Grant County,3305
AR,Hempstead County,254
AR,Hot Spring County,254
AR,Howard County,1231
AR,Independence County,254
AR,Izard County,254
AR,Johnson County,1918
AR,Lafayette County,650
AR,Lincoln County,4807
AR,Little River County,254
AR,Logan County,2256
AR,Lonoke County,254
AR,Miller County,254
AR,Mississippi County,254
AR,Nevada County,678
AR,Newton County,883
AR,Ouachita County,254
AR,Phillips County,998
