,YearStart,LocationDesc,Question,DataValue
44516,2019,Alaska,Prevalence of diagnosed diabetes among adults aged >= 18 years,7.1
46328,2019,Alabama,Prevalence of diagnosed diabetes among adults aged >= 18 years,12.2
47212,2019,Arkansas,Prevalence of diagnosed diabetes among adults aged >= 18 years,12.2
51143,2019,Arizona,Prevalence of diagnosed diabetes among adults aged >= 18 years,9.8
53550,2019,California,Prevalence of diagnosed diabetes among adults aged >= 18 years,9.4
55064,2019,Connecticut,Prevalence of diagnosed diabetes among adults aged >= 18 years,8.3
56011,2019,Colorado,Prevalence of diagnosed diabetes among adults aged >= 18 years,6.6
57672,2019,District of Columbia,Prevalence of diagnosed diabetes among adults aged >= 18 years,9.4
59708,2019,Delaware,Prevalence of diagnosed diabetes among adults aged >= 18 years,10.9
61932,2019,Florida,Prevalence of diagnosed diabetes among adults aged >= 18 years,9.4
65228,2019,Georgia,Prevalence of diagnosed diabetes among adults aged >= 18 years,11.2
67418,2019,Guam,Prevalence of diagnosed diabetes among adults aged >= 18 years,13.4
69415,2019,Hawaii,Prevalence of diagnosed diabetes among adults aged >= 18 years,9.3
71235,2019,Iowa,Prevalence of diagnosed diabetes among adults aged >= 18 years,9.1
74071,2019,Idaho,Prevalence of diagnosed diabetes among adults aged >= 18 years,9.3
77351,2019,Indiana,Prevalence of diagnosed diabetes among adults aged >= 18 years,11.2
77576,2019,Illinois,Prevalence of diagnosed diabetes among adults aged >= 18 years,10.0
78416,2019,Kansas,Prevalence of diagnosed diabetes among adults aged >= 18 years,9.8
80619,2019,Kentucky,Prevalence of diagnosed diabetes among adults aged >= 18 years,11.7
83467,2019,Louisiana,Prevalence of diagnosed diabetes among adults aged >= 18 years,11.4
86214,2019,Massachusetts,Prevalence of diagnosed diabetes among adults aged >= 18 years,7.4
88472,2019,Maryland,Prevalence of diagnosed diabetes among adults aged >= 18 years,9.8
89105,2019,Maine,Prevalence of diagnosed diabetes among adults aged >= 18 years,8.7
92956,2019,Michigan,Prevalence of diagnosed diabetes among adults aged >= 18 years,9.6
94426,2019,Minnesota,Prevalence of diagnosed diabetes among adults aged >= 18 years,7.8
96004,2019,Missouri,Prevalence of diagnosed diabetes among adults aged >= 18 years,9.0
96128,2019,Mississippi,Prevalence of diagnosed diabetes among adults aged >= 18 years,13.4
99790,2019,Montana,Prevalence of diagnosed diabetes among adults aged >= 18 years,6.4
102324,2019,North Carolina,Prevalence of diagnosed diabetes among adults aged >= 18 years,10.6
105067,2019,North Dakota,Prevalence of diagnosed diabetes among adults aged >= 18 years,8.3
106787,2019,Nebraska,Prevalence of diagnosed diabetes among adults aged >= 18 years,9.2
108684,2019,New Hampshire,Prevalence of diagnosed diabetes among adults aged >= 18 years,8.0
110186,2019,New Jersey,Prevalence of diagnosed diabetes among adults aged >= 18 years,
114177,2019,New Mexico,Prevalence of diagnosed diabetes among adults aged >= 18 years,11.0
116323,2019,Nevada,Prevalence of diagnosed diabetes among adults aged >= 18 years,9.9
119026,2019,New York,Prevalence of diagnosed diabetes among adults aged >= 18 years,9.4
120421,2019,Ohio,Prevalence of diagnosed diabetes among adults aged >= 18 years,10.3
121426,2019,Oklahoma,Prevalence of diagnosed diabetes among adults aged >= 18 years,11.1
124000,2019,Oregon,Prevalence of diagnosed diabetes among adults aged >= 18 years,7.5
125120,2019,Pennsylvania,Prevalence of diagnosed diabetes among adults aged >= 18 years,9.2
127357,2019,Puerto Rico,Prevalence of diagnosed diabetes among adults aged >= 18 years,14.5
129814,2019,Rhode Island,Prevalence of diagnosed diabetes among adults aged >= 18 years,9.1
131567,2019,South Carolina,Prevalence of diagnosed diabetes among adults aged >= 18 years,11.6
134087,2019,South Dakota,Prevalence of diagnosed diabetes among adults aged >= 18 years,9.3
135676,2019,Tennessee,Prevalence of diagnosed diabetes among adults aged >= 18 years,12.1
137955,2019,Texas,Prevalence of diagnosed diabetes among adults aged >= 18 years,11.9
138078,2019,United States,Prevalence of diagnosed diabetes among adults aged >= 18 years,9.4
141219,2019,Utah,Prevalence of diagnosed diabetes among adults aged >= 18 years,8.3
142837,2019,Virginia,Prevalence of diagnosed diabetes among adults aged >= 18 years,9.9
145056,2019,Virgin Islands,Prevalence of diagnosed diabetes among adults aged >= 18 years,
147355,2019,Vermont,Prevalence of diagnosed diabetes among adults aged >= 18 years,7.4
147538,2019,Washington,Prevalence of diagnosed diabetes among adults aged >= 18 years,8.5
150410,2019,Wisconsin,Prevalence of diagnosed diabetes among adults aged >= 18 years,7.5
154305,2019,West Virginia,Prevalence of diagnosed diabetes among adults aged >= 18 years,13.1
156047,2019,Wyoming,Prevalence of diagnosed diabetes among adults aged >= 18 years,6.8
