,YearStart,LocationDesc,Question,DataValue
97076,2019,Alaska,Awareness of high blood pressure among adults aged >= 18 years,32.8
98432,2019,Alabama,Awareness of high blood pressure among adults aged >= 18 years,39.4
99507,2019,Arkansas,Awareness of high blood pressure among adults aged >= 18 years,38.2
101239,2019,Arizona,Awareness of high blood pressure among adults aged >= 18 years,29.9
101825,2019,California,Awareness of high blood pressure among adults aged >= 18 years,26.6
102010,2019,Colorado,Awareness of high blood pressure among adults aged >= 18 years,24.6
103717,2019,Connecticut,Awareness of high blood pressure among adults aged >= 18 years,27.6
105215,2019,District of Columbia,Awareness of high blood pressure among adults aged >= 18 years,29.1
105963,2019,Delaware,Awareness of high blood pressure among adults aged >= 18 years,32.4
108064,2019,Florida,Awareness of high blood pressure among adults aged >= 18 years,28.8
108702,2019,Georgia,Awareness of high blood pressure among adults aged >= 18 years,33.0
109914,2019,Guam,Awareness of high blood pressure among adults aged >= 18 years,33.3
111483,2019,Hawaii,Awareness of high blood pressure among adults aged >= 18 years,27.7
112025,2019,Iowa,Awareness of high blood pressure among adults aged >= 18 years,29.2
114087,2019,Illinois,Awareness of high blood pressure among adults aged >= 18 years,29.7
114112,2019,Idaho,Awareness of high blood pressure among adults aged >= 18 years,28.7
115369,2019,Indiana,Awareness of high blood pressure among adults aged >= 18 years,32.4
116056,2019,Kansas,Awareness of high blood pressure among adults aged >= 18 years,31.6
118235,2019,Kentucky,Awareness of high blood pressure among adults aged >= 18 years,38.0
118554,2019,Louisiana,Awareness of high blood pressure among adults aged >= 18 years,37.7
120070,2019,Massachusetts,Awareness of high blood pressure among adults aged >= 18 years,25.6
121412,2019,Maryland,Awareness of high blood pressure among adults aged >= 18 years,31.7
122599,2019,Maine,Awareness of high blood pressure among adults aged >= 18 years,31.5
123810,2019,Michigan,Awareness of high blood pressure among adults aged >= 18 years,31.9
124276,2019,Minnesota,Awareness of high blood pressure among adults aged >= 18 years,26.3
125435,2019,Missouri,Awareness of high blood pressure among adults aged >= 18 years,28.0
126436,2019,Mississippi,Awareness of high blood pressure among adults aged >= 18 years,41.2
127334,2019,Montana,Awareness of high blood pressure among adults aged >= 18 years,26.1
128416,2019,North Carolina,Awareness of high blood pressure among adults aged >= 18 years,32.4
130285,2019,North Dakota,Awareness of high blood pressure among adults aged >= 18 years,28.4
131546,2019,Nebraska,Awareness of high blood pressure among adults aged >= 18 years,28.9
131911,2019,New Hampshire,Awareness of high blood pressure among adults aged >= 18 years,28.1
133259,2019,New Jersey,Awareness of high blood pressure among adults aged >= 18 years,
135038,2019,New Mexico,Awareness of high blood pressure among adults aged >= 18 years,28.9
136378,2019,Nevada,Awareness of high blood pressure among adults aged >= 18 years,30.5
136966,2019,Ohio,Awareness of high blood pressure among adults aged >= 18 years,31.5
137219,2019,New York,Awareness of high blood pressure among adults aged >= 18 years,27.1
139053,2019,Oklahoma,Awareness of high blood pressure among adults aged >= 18 years,35.5
139420,2019,Oregon,Awareness of high blood pressure among adults aged >= 18 years,27.6
141118,2019,Pennsylvania,Awareness of high blood pressure among adults aged >= 18 years,29.5
142460,2019,Puerto Rico,Awareness of high blood pressure among adults aged >= 18 years,36.6
142766,2019,Rhode Island,Awareness of high blood pressure among adults aged >= 18 years,30.3
144231,2019,South Carolina,Awareness of high blood pressure among adults aged >= 18 years,34.6
145445,2019,South Dakota,Awareness of high blood pressure among adults aged >= 18 years,28.2
147028,2019,Tennessee,Awareness of high blood pressure among adults aged >= 18 years,36.4
148093,2019,United States,Awareness of high blood pressure among adults aged >= 18 years,29.6
148590,2019,Texas,Awareness of high blood pressure among adults aged >= 18 years,31.2
149310,2019,Utah,Awareness of high blood pressure among adults aged >= 18 years,26.9
150118,2019,Virginia,Awareness of high blood pressure among adults aged >= 18 years,31.3
152320,2019,Vermont,Awareness of high blood pressure among adults aged >= 18 years,26.8
152779,2019,Virgin Islands,Awareness of high blood pressure among adults aged >= 18 years,
153609,2019,Washington,Awareness of high blood pressure among adults aged >= 18 years,28.3
154861,2019,Wisconsin,Awareness of high blood pressure among adults aged >= 18 years,27.9
156215,2019,West Virginia,Awareness of high blood pressure among adults aged >= 18 years,39.0
156831,2019,Wyoming,Awareness of high blood pressure among adults aged >= 18 years,28.2
