,YearStart,LocationDesc,Question,DataValue
98160,2019,Alaska,Awareness of high blood pressure among adults aged >= 18 years,32.8
98274,2019,Alabama,Awareness of high blood pressure among adults aged >= 18 years,42.5
100334,2019,Arkansas,Awareness of high blood pressure among adults aged >= 18 years,41.0
100935,2019,Arizona,Awareness of high blood pressure among adults aged >= 18 years,32.5
102124,2019,California,Awareness of high blood pressure among adults aged >= 18 years,27.8
103523,2019,Colorado,Awareness of high blood pressure among adults aged >= 18 years,25.8
104610,2019,Connecticut,Awareness of high blood pressure among adults aged >= 18 years,30.9
105573,2019,District of Columbia,Awareness of high blood pressure among adults aged >= 18 years,27.2
106781,2019,Delaware,Awareness of high blood pressure among adults aged >= 18 years,36.4
107545,2019,Florida,Awareness of high blood pressure among adults aged >= 18 years,33.5
108531,2019,Georgia,Awareness of high blood pressure among adults aged >= 18 years,34.8
110435,2019,Guam,Awareness of high blood pressure among adults aged >= 18 years,30.3
110643,2019,Hawaii,Awareness of high blood pressure among adults aged >= 18 years,30.7
112022,2019,Iowa,Awareness of high blood pressure among adults aged >= 18 years,31.8
113537,2019,Illinois,Awareness of high blood pressure among adults aged >= 18 years,32.2
113613,2019,Idaho,Awareness of high blood pressure among adults aged >= 18 years,30.6
115709,2019,Indiana,Awareness of high blood pressure among adults aged >= 18 years,34.8
116899,2019,Kansas,Awareness of high blood pressure among adults aged >= 18 years,33.5
117415,2019,Kentucky,Awareness of high blood pressure among adults aged >= 18 years,40.9
119319,2019,Louisiana,Awareness of high blood pressure among adults aged >= 18 years,39.7
119762,2019,Massachusetts,Awareness of high blood pressure among adults aged >= 18 years,28.1
121826,2019,Maryland,Awareness of high blood pressure among adults aged >= 18 years,34.3
122359,2019,Maine,Awareness of high blood pressure among adults aged >= 18 years,36.2
123682,2019,Michigan,Awareness of high blood pressure among adults aged >= 18 years,35.1
125126,2019,Missouri,Awareness of high blood pressure among adults aged >= 18 years,30.9
125597,2019,Minnesota,Awareness of high blood pressure among adults aged >= 18 years,28.7
126237,2019,Mississippi,Awareness of high blood pressure among adults aged >= 18 years,43.6
128196,2019,Montana,Awareness of high blood pressure among adults aged >= 18 years,29.5
128701,2019,North Carolina,Awareness of high blood pressure among adults aged >= 18 years,35.1
129779,2019,North Dakota,Awareness of high blood pressure among adults aged >= 18 years,29.8
130855,2019,Nebraska,Awareness of high blood pressure among adults aged >= 18 years,31.0
131916,2019,New Hampshire,Awareness of high blood pressure among adults aged >= 18 years,31.5
133482,2019,New Jersey,Awareness of high blood pressure among adults aged >= 18 years,
134236,2019,New Mexico,Awareness of high blood pressure among adults aged >= 18 years,31.6
135074,2019,Nevada,Awareness of high blood pressure among adults aged >= 18 years,32.8
136785,2019,New York,Awareness of high blood pressure among adults aged >= 18 years,29.6
137406,2019,Ohio,Awareness of high blood pressure among adults aged >= 18 years,34.5
138717,2019,Oklahoma,Awareness of high blood pressure among adults aged >= 18 years,37.8
140222,2019,Oregon,Awareness of high blood pressure among adults aged >= 18 years,30.6
141482,2019,Pennsylvania,Awareness of high blood pressure among adults aged >= 18 years,33.3
142266,2019,Puerto Rico,Awareness of high blood pressure among adults aged >= 18 years,39.9
143129,2019,Rhode Island,Awareness of high blood pressure among adults aged >= 18 years,33.0
145007,2019,South Carolina,Awareness of high blood pressure among adults aged >= 18 years,38.3
145688,2019,South Dakota,Awareness of high blood pressure among adults aged >= 18 years,30.9
147339,2019,Tennessee,Awareness of high blood pressure among adults aged >= 18 years,39.3
147537,2019,United States,Awareness of high blood pressure among adults aged >= 18 years,32.3
148103,2019,Texas,Awareness of high blood pressure among adults aged >= 18 years,31.7
148976,2019,Utah,Awareness of high blood pressure among adults aged >= 18 years,25.8
150354,2019,Virginia,Awareness of high blood pressure among adults aged >= 18 years,33.6
151870,2019,Vermont,Awareness of high blood pressure among adults aged >= 18 years,30.2
153183,2019,Virgin Islands,Awareness of high blood pressure among adults aged >= 18 years,
154208,2019,Washington,Awareness of high blood pressure among adults aged >= 18 years,30.3
154736,2019,Wisconsin,Awareness of high blood pressure among adults aged >= 18 years,31.0
156531,2019,West Virginia,Awareness of high blood pressure among adults aged >= 18 years,43.8
157633,2019,Wyoming,Awareness of high blood pressure among adults aged >= 18 years,30.7
