,YearStart,LocationDesc,Question,DataValue
131,2019,Alaska,Influenza vaccination among noninstitutionalized adults aged >= 18 years,37.0
279,2019,Alabama,Influenza vaccination among noninstitutionalized adults aged >= 18 years,39.5
516,2019,Arkansas,Influenza vaccination among noninstitutionalized adults aged >= 18 years,40.1
599,2019,Arizona,Influenza vaccination among noninstitutionalized adults aged >= 18 years,37.1
720,2019,California,Influenza vaccination among noninstitutionalized adults aged >= 18 years,40.7
924,2019,Connecticut,Influenza vaccination among noninstitutionalized adults aged >= 18 years,47.1
1100,2019,Colorado,Influenza vaccination among noninstitutionalized adults aged >= 18 years,45.6
1335,2019,District of Columbia,Influenza vaccination among noninstitutionalized adults aged >= 18 years,48.7
1440,2019,Delaware,Influenza vaccination among noninstitutionalized adults aged >= 18 years,40.9
1714,2019,Florida,Influenza vaccination among noninstitutionalized adults aged >= 18 years,33.3
1806,2019,Georgia,Influenza vaccination among noninstitutionalized adults aged >= 18 years,34.9
2114,2019,Guam,Influenza vaccination among noninstitutionalized adults aged >= 18 years,31.7
2200,2019,Hawaii,Influenza vaccination among noninstitutionalized adults aged >= 18 years,42.1
2464,2019,Iowa,Influenza vaccination among noninstitutionalized adults aged >= 18 years,46.7
2576,2019,Idaho,Influenza vaccination among noninstitutionalized adults aged >= 18 years,36.5
2818,2019,Illinois,Influenza vaccination among noninstitutionalized adults aged >= 18 years,37.3
2955,2019,Indiana,Influenza vaccination among noninstitutionalized adults aged >= 18 years,40.3
3145,2019,Kansas,Influenza vaccination among noninstitutionalized adults aged >= 18 years,44.6
3185,2019,Kentucky,Influenza vaccination among noninstitutionalized adults aged >= 18 years,40.2
3377,2019,Louisiana,Influenza vaccination among noninstitutionalized adults aged >= 18 years,36.8
3555,2019,Massachusetts,Influenza vaccination among noninstitutionalized adults aged >= 18 years,48.9
3851,2019,Maryland,Influenza vaccination among noninstitutionalized adults aged >= 18 years,47.9
3997,2019,Maine,Influenza vaccination among noninstitutionalized adults aged >= 18 years,42.6
4090,2019,Michigan,Influenza vaccination among noninstitutionalized adults aged >= 18 years,38.2
4369,2019,Minnesota,Influenza vaccination among noninstitutionalized adults aged >= 18 years,44.5
4461,2019,Missouri,Influenza vaccination among noninstitutionalized adults aged >= 18 years,43.8
4611,2019,Montana,Influenza vaccination among noninstitutionalized adults aged >= 18 years,40.6
4868,2019,Mississippi,Influenza vaccination among noninstitutionalized adults aged >= 18 years,37.3
4963,2019,North Carolina,Influenza vaccination among noninstitutionalized adults aged >= 18 years,47.1
5090,2019,North Dakota,Influenza vaccination among noninstitutionalized adults aged >= 18 years,46.1
5342,2019,Nebraska,Influenza vaccination among noninstitutionalized adults aged >= 18 years,47.6
5500,2019,New Hampshire,Influenza vaccination among noninstitutionalized adults aged >= 18 years,45.4
5681,2019,New Jersey,Influenza vaccination among noninstitutionalized adults aged >= 18 years,
5964,2019,New Mexico,Influenza vaccination among noninstitutionalized adults aged >= 18 years,40.7
6001,2019,Nevada,Influenza vaccination among noninstitutionalized adults aged >= 18 years,30.7
6197,2019,New York,Influenza vaccination among noninstitutionalized adults aged >= 18 years,43.5
6460,2019,Oklahoma,Influenza vaccination among noninstitutionalized adults aged >= 18 years,42.9
6607,2019,Ohio,Influenza vaccination among noninstitutionalized adults aged >= 18 years,40.4
6784,2019,Oregon,Influenza vaccination among noninstitutionalized adults aged >= 18 years,40.6
6949,2019,Pennsylvania,Influenza vaccination among noninstitutionalized adults aged >= 18 years,45.2
7084,2019,Puerto Rico,Influenza vaccination among noninstitutionalized adults aged >= 18 years,24.2
7265,2019,Rhode Island,Influenza vaccination among noninstitutionalized adults aged >= 18 years,48.8
7535,2019,South Carolina,Influenza vaccination among noninstitutionalized adults aged >= 18 years,40.0
7703,2019,South Dakota,Influenza vaccination among noninstitutionalized adults aged >= 18 years,47.0
7931,2019,Tennessee,Influenza vaccination among noninstitutionalized adults aged >= 18 years,38.8
8053,2019,United States,Influenza vaccination among noninstitutionalized adults aged >= 18 years,41.4
8110,2019,Texas,Influenza vaccination among noninstitutionalized adults aged >= 18 years,39.4
8221,2019,Utah,Influenza vaccination among noninstitutionalized adults aged >= 18 years,41.8
8409,2019,Virginia,Influenza vaccination among noninstitutionalized adults aged >= 18 years,46.8
8550,2019,Virgin Islands,Influenza vaccination among noninstitutionalized adults aged >= 18 years,
8715,2019,Vermont,Influenza vaccination among noninstitutionalized adults aged >= 18 years,44.8
9005,2019,Wisconsin,Influenza vaccination among noninstitutionalized adults aged >= 18 years,44.3
9030,2019,Washington,Influenza vaccination among noninstitutionalized adults aged >= 18 years,46.7
9367,2019,West Virginia,Influenza vaccination among noninstitutionalized adults aged >= 18 years,40.9
9510,2019,Wyoming,Influenza vaccination among noninstitutionalized adults aged >= 18 years,34.7
