,Wave_time,mask,Start_Date,End_Date
0,Late Apr,55.96,2020-04-16,2020-04-30
1,Late Apr,46.17,2020-04-16,2020-04-30
2,Late Apr,51.94,2020-04-16,2020-04-30
3,Late Apr,44.19,2020-04-16,2020-04-30
4,Late Apr,49.7,2020-04-16,2020-04-30
5,Late Apr,72.73,2020-04-16,2020-04-30
6,Late Apr,55.87,2020-04-16,2020-04-30
7,Late Apr,63.79,2020-04-16,2020-04-30
8,Late Apr,70.27,2020-04-16,2020-04-30
9,Late Apr,62.67,2020-04-16,2020-04-30
10,Late Apr,62.03,2020-04-16,2020-04-30
11,Late Apr,56.09,2020-04-16,2020-04-30
12,Late Apr,72.97,2020-04-16,2020-04-30
13,Late Apr,35.61,2020-04-16,2020-04-30
14,Late Apr,30.09,2020-04-16,2020-04-30
15,Late Apr,52.97,2020-04-16,2020-04-30
16,Late Apr,48.95,2020-04-16,2020-04-30
17,Late Apr,47.42,2020-04-16,2020-04-30
18,Late Apr,43.28,2020-04-16,2020-04-30
19,Late Apr,48.33,2020-04-16,2020-04-30
20,Late Apr,65.23,2020-04-16,2020-04-30
21,Late Apr,71.63,2020-04-16,2020-04-30
22,Late Apr,47.47,2020-04-16,2020-04-30
23,Late Apr,60.12,2020-04-16,2020-04-30
24,Late Apr,44.36,2020-04-16,2020-04-30
25,Late Apr,45.23,2020-04-16,2020-04-30
26,Late Apr,54.11,2020-04-16,2020-04-30
27,Late Apr,31.81,2020-04-16,2020-04-30
28,Late Apr,44.16,2020-04-16,2020-04-30
29,Late Apr,25.32,2020-04-16,2020-04-30
30,Late Apr,42.17,2020-04-16,2020-04-30
31,Late Apr,54.49,2020-04-16,2020-04-30
32,Late Apr,78.33,2020-04-16,2020-04-30
33,Late Apr,48.0,2020-04-16,2020-04-30
34,Late Apr,53.92,2020-04-16,2020-04-30
35,Late Apr,77.42,2020-04-16,2020-04-30
36,Late Apr,44.11,2020-04-16,2020-04-30
37,Late Apr,41.41,2020-04-16,2020-04-30
38,Late Apr,50.35,2020-04-16,2020-04-30
39,Late Apr,63.97,2020-04-16,2020-04-30
40,Late Apr,71.56,2020-04-16,2020-04-30
41,Late Apr,41.02,2020-04-16,2020-04-30
42,Late Apr,28.52,2020-04-16,2020-04-30
43,Late Apr,52.28,2020-04-16,2020-04-30
44,Late Apr,59.43,2020-04-16,2020-04-30
45,Late Apr,37.3,2020-04-16,2020-04-30
46,Late Apr,54.39,2020-04-16,2020-04-30
47,Late Apr,60.08,2020-04-16,2020-04-30
48,Late Apr,46.24,2020-04-16,2020-04-30
49,Late Apr,36.95,2020-04-16,2020-04-30
50,Late Apr,52.27,2020-04-16,2020-04-30
51,Late Apr,34.84,2020-04-16,2020-04-30
52,Early May,62.41,2020-05-01,2020-05-21
53,Early May,61.57,2020-05-01,2020-05-21
54,Early May,54.67,2020-05-01,2020-05-21
55,Early May,41.36,2020-05-01,2020-05-21
