Location,Employment_2020,Employment_2021,Employment_2022,Inc_Per_Cap_2020,Inc_Per_Cap_2021,Inc_Per_CAp_2022,Life_Exp_2020,Life_Exp_2019,Life_Exp_2018,Employer_2019,Non-Group_2019,Medicaid_2019,Medicare_2019,Military_2019,Uninsured_2019,Employer_2021,Non-Group_2021,Medicaid_2021,Medicare_2021,Military_2021,Uninsured_2021,Population Density per mi²,2010 Population,2020 Population,flu_vaccination_rate_2019,asthma_prevalence,cardiac_mortality_rate,high_bp_prevalence,copd_prevalence,kidney_disease_prevalence,diabetes_prevalence,Physicians,Physicians Rate,Active MO,Active MO Rate,Active DO,Active DO Rate,Exc_deaths_2017,Exc_deaths_2018,Exc_deaths_2019,Exc_deaths_2020,Exc_deaths_2021,Exc_deaths_2022,Dist_Per_100K_2021_x,Distributed_Per_100k_65Plus_2021_x,Admin_Per_100K_2021_x,Admin_Per_100k_65Plus_2021_x,Administered_Dose1_Pop_Pct_2021_x,Administered_Dose1_Recip_65PlusPop_Pct_2021_x,Series_Complete_Pop_Pct_2021_x,Series_Complete_65PlusPop_Pct_2021_x,Additional_Doses_Vax_Pct_2021_x,Additional_Doses_50Plus_Vax_Pct_2021_x,Additional_Doses_65Plus_Vax_Pct_2021_x,Dist_Per_100K_2022_x,Distributed_Per_100k_65Plus_2022_x,Admin_Per_100K_2022_x,Admin_Per_100k_65Plus_2022_x,Administered_Dose1_Pop_Pct_2022_x,Administered_Dose1_Recip_65PlusPop_Pct_2022_x,Series_Complete_Pop_Pct_2022_x,Series_Complete_65PlusPop_Pct_2022_x,Additional_Doses_Vax_Pct_2022_x,Additional_Doses_50Plus_Vax_Pct_2022_x,Additional_Doses_65Plus_Vax_Pct_2022_x,Second_Booster_50Plus_Vax_Pct_x,Second_Booster_65Plus_Vax_Pct_x,Bivalent_Booster_65Plus_Pop_Pct_x,astha_prevalence,Dist_Per_100K_2021_y,Distributed_Per_100k_65Plus_2021_y,Admin_Per_100K_2021_y,Admin_Per_100k_65Plus_2021_y,Administered_Dose1_Pop_Pct_2021_y,Administered_Dose1_Recip_65PlusPop_Pct_2021_y,Series_Complete_Pop_Pct_2021_y,Series_Complete_65PlusPop_Pct_2021_y,Additional_Doses_Vax_Pct_2021_y,Additional_Doses_50Plus_Vax_Pct_2021_y,Additional_Doses_65Plus_Vax_Pct_2021_y,Dist_Per_100K_2022_y,Distributed_Per_100k_65Plus_2022_y,Admin_Per_100K_2022_y,Admin_Per_100k_65Plus_2022_y,Administered_Dose1_Pop_Pct_2022_y,Administered_Dose1_Recip_65PlusPop_Pct_2022_y,Series_Complete_Pop_Pct_2022_y,Series_Complete_65PlusPop_Pct_2022_y,Additional_Doses_Vax_Pct_2022_y,Additional_Doses_50Plus_Vax_Pct_2022_y,Additional_Doses_65Plus_Vax_Pct_2022_y,Second_Booster_50Plus_Vax_Pct_y,Second_Booster_65Plus_Vax_Pct_y,Bivalent_Booster_65Plus_Pop_Pct_y,Mask_Mandate,Mandatory,Current President,Your State Governor,Go to work,Go to the gym,Go visit a friend,"Go to a cafe, bar, or restaurant",Go to a doctor or visit a hospital,Go to church or another place of worship,"Take mass transit (e.g. subway, bus or train)",Avoiding contact with other people,Avoiding public or crowded places,Frequently washing hands,Wearing a face mask when outside of your home,"Been in a room with someone outside of 
 household in the past 24 hours","Yes, 5-10 people","Yes, 11-50 people","Yes, 50 or more people",all_causes_2020,all_causes_2021,all_causes_2022,covid_2020,covid_2021,covid_2022,Covid_pop_perce_2020,Covid_pop_perce_2021,Covid_pop_perce_2022
Alabama,2671005,2769464,2869931,45887,50059,50916,73.2,75.2,75.1,0.472,0.055,0.195,0.16,0.021,0.097,0.466,0.06,0.192,0.162,0.021,0.1,100.65,4779736,5024279,39.5,9.4,289.3,39.4,9.3,3.1,12.2,10983.0,224.0,10389.0,211.9,594.0,12.1,2649,4062,945,20726,29283,14805,164304,947963,115022,205476,58.6,92.8,47.7,79.7,27.4,38.9,49.0,242643,1399940,141328,259917,64.8,95.0,53.0,85.0,39.5,53.1,62.7,37.9,43.5,20.2,False,164304,947963,115022,205476,58.6,92.8,47.7,79.7,27.4,38.9,49.0,242643,1399940,141328,259917,64.8,95.0,53.0,85.0,39.5,53.1,62.7,37.9,43.5,20.2,07/16/2020,1,54.37112424,58.90323234,26.31,2.61,11.48,8.44,6.96,3.23,0.42,67.99,76.28,80.84,51.94,30.52,6.7,1.22,1.0,9021,13018,6246,6337,9771,3933,0.0012612754984347,0.0019447566506557,0.0007827988851733
Alaska,430840,443047,457687,61898,65662,68635,76.6,77.7,78.0,0.484,0.035,0.213,0.1,0.053,0.115,0.433,0.041,0.257,0.107,0.053,0.108,1.3,710231,733391,37.0,9.7,178.5,32.8,4.6,1.8,7.1,2101.0,287.2,1825.0,249.5,276.0,37.7,417,492,639,1422,3483,1783,180516,1441840,140316,225626,65.1,93.3,56.4,84.2,34.8,52.8,64.1,282456,2256080,178247,307195,72.8,95.0,64.9,89.2,49.0,67.5,78.1,51.8,59.8,37.6,False,180516,1441840,140316,225626,65.1,93.3,56.4,84.2,34.8,52.8,64.1,282456,2256080,178247,307195,72.8,95.0,64.9,89.2,49.0,67.5,78.1,51.8,59.8,37.6,,0,56.06077532,64.20880987,28.26,3.44,16.69,1.18,4.28,5.07,0.0,51.31,71.37,76.71,46.17,44.03,5.44,1.39,0.0,545,1429,686,213,804,275,0.0002904317069612,0.001096277429093,0.0003749705136823
Arizona,3920033,4086802,4287595,52133,56420,58442,76.3,78.8,78.7,0.451,0.052,0.21,0.161,0.015,0.111,0.45,0.054,0.213,0.162,0.015,0.106,64.96,6392017,7151502,37.1,9.8,181.8,29.9,6.0,3.6,9.8,18343.0,252.0,15989.0,219.7,2353.0,32.3,3522,4281,1785,30955,40347,20653,173088,962728,144603,236197,67.4,95.0,57.1,83.6,30.4,44.0,51.7,261578,1454920,196497,332661,77.1,95.0,65.8,90.3,49.5,65.0,71.8,51.8,58.9,34.6,False,173088,962728,144603,236197,67.4,95.0,57.1,83.6,30.4,44.0,51.7,261578,1454920,196497,332661,77.1,95.0,65.8,90.3,49.5,65.0,71.8,51.8,58.9,34.6,,0,43.07990383,57.21766551,32.02,1.48,6.21,6.0,6.81,1.69,2.76,65.18,71.42,79.7,49.7,33.24,8.51,1.14,2.89,13186,17961,8835,8603,13536,5849,0.0012029640766373,0.0018927492434456,0.0008178701481171
Arkansas,1639829,1686444,1755536,47147,51636,52618,73.8,75.7,75.6,0.42,0.054,0.262,0.159,0.014,0.091,0.411,0.056,0.27,0.156,0.015,0.092,58.43,2915918,3011524,40.1,9.3,284.3,38.2,9.7,3.7,12.2,6500.0,215.4,6132.0,203.2,368.0,12.2,3054,2199,1434,11285,15391,8969,165324,952344,125929,211199,62.7,92.6,51.2,78.3,30.2,44.3,55.4,266250,1533720,159188,282457,69.6,95.0,56.7,83.8,44.2,59.8,69.9,46.0,53.0,29.7,False,165324,952344,125929,211199,62.7,92.6,51.2,78.3,30.2,44.3,55.4,266250,1533720,159188,282457,69.6,95.0,56.7,83.8,44.2,59.8,69.9,46.0,53.0,29.7,07/20/2020,1,53.71665448,65.26068462,29.37,0.72,11.52,5.41,5.81,2.08,0.11,58.48,68.32,80.59,44.19,30.78,7.73,1.49,1.0,4992,6908,3854,3691,5333,2593,0.0012256252980218,0.0017708641870361,0.00086102584605
California,23154091,23934549,25300974,70061,76991,77036,79.0,80.9,80.8,0.48,0.066,0.253,0.114,0.009,0.078,0.47,0.07,0.265,0.117,0.008,0.07,258.21,37253956,39538223,40.7,7.8,192.5,26.6,4.2,2.8,9.4,113718.0,287.8,107383.0,271.8,6333.0,16.0,17241,13434,1029,93875,133206,89195,193006,1306260,167055,246904,82.9,95.0,66.2,86.8,33.5,48.6,58.0,293125,1983860,219183,338897,84.3,95.0,74.4,92.7,58.4,73.6,81.2,54.9,63.0,41.8,False,193006,1306260,167055,246904,82.9,95.0,66.2,86.8,33.5,48.6,58.0,293125,1983860,219183,338897,84.3,95.0,74.4,92.7,58.4,73.6,81.2,54.9,63.0,41.8,07/18/2020,1,35.63446523,72.00748615,25.46,1.83,6.79,8.18,7.48,0.77,1.98,75.91,78.55,80.42,72.73,20.95,3.63,1.23,1.18,41279,60680,36786,29962,48834,21158,0.0007577983461725,0.0012351086188167,0.0005351277420839
Colorado,3821481,3988907,4187944,64852,71923,75722,78.3,80.0,80.0,0.534,0.069,0.168,0.128,0.023,0.078,0.513,0.07,0.185,0.131,0.022,0.08,57.86,5029196,5773714,45.6,9.7,175.0,24.6,4.3,1.7,6.6,16956.0,294.4,15270.0,265.2,1685.0,29.3,1509,732,813,14544,16622,13179,188504,1288620,165766,252436,74.7,95.0,66.3,89.2,41.1,60.2,70.7,292906,2002310,221665,368898,83.3,95.0,73.2,95.0,57.2,73.3,80.7,60.9,69.0,49.3,False,188504,1288620,165766,252436,74.7,95.0,66.3,89.2,41.1,60.2,70.7,292906,2002310,221665,368898,83.3,95.0,73.2,95.0,57.2,73.3,80.7,60.9,69.0,49.3,07/17/2020,1,42.54302587,65.00781333,23.76,0.11,6.14,5.54,4.06,0.57,1.11,64.23,71.81,72.36,55.87,24.53,4.36,2.43,0.63,6426,7431,5482,4734,5671,3267,0.0008199228434245,0.0009822100644403,0.0005658402892834
Connecticut,2217432,2289551,2391946,77383,80691,82938,78.4,80.3,80.4,0.529,0.048,0.215,0.141,0.007,0.059,0.519,0.055,0.226,0.141,0.007,0.051,746.7,3574097,3605944,47.1,10.8,182.5,27.6,4.6,2.1,8.3,12977.0,364.0,12453.0,349.3,523.0,14.7,2973,1599,1428,12579,5581,5712,208163,1177580,186849,270540,88.8,95.0,74.7,94.6,38.4,55.4,66.3,320343,1812180,249167,386377,95.0,95.0,82.8,95.0,55.2,69.4,76.2,54.0,63.6,54.1,False,208163,1177580,186849,270540,88.8,95.0,74.7,94.6,38.4,55.4,66.3,320343,1812180,249167,386377,95.0,95.0,82.8,95.0,55.2,69.4,76.2,54.0,63.6,54.1,04/17/2020,1,34.98302227,65.86341158,22.59,1.03,5.82,3.91,6.34,1.12,0.59,75.51,80.05,80.98,63.79,21.64,3.0,0.0,1.95,6015,2575,2599,5466,2144,2085,0.0015158305287048,0.0005945738480686,0.000578211974451
Delaware,592126,620352,651224,55778,58889,63243,76.7,78.1,77.8,0.497,0.041,0.204,0.173,0.018,0.066,0.488,0.062,0.206,0.176,0.012,0.057,522.09,897934,989948,40.9,9.8,214.3,32.4,7.3,3.7,10.9,2850.0,292.7,2484.0,255.1,366.0,37.6,1062,1263,258,3090,3433,2661,202975,1046290,163053,259503,76.8,95.0,64.3,92.9,34.7,49.4,59.8,325499,1677870,217754,366151,87.7,95.0,72.9,95.0,50.9,65.4,74.1,52.0,60.0,45.5,False,202975,1046290,163053,259503,76.8,95.0,64.3,92.9,34.7,49.4,59.8,325499,1677870,217754,366151,87.7,95.0,72.9,95.0,50.9,65.4,74.1,52.0,60.0,45.5,09/16/2020,1,37.65880073,69.64804366,20.87,0.25,9.19,4.16,7.08,0.26,1.93,71.74,78.93,80.19,62.67,26.99,5.65,0.8,0.46,1338,1497,1124,924,1058,711,0.0009333823594774,0.001068743004683,0.0007182195428446
Florida,12719592,13458025,14227252,56561,63078,64806,77.5,79.0,78.9,0.403,0.095,0.174,0.18,0.017,0.131,0.4,0.104,0.178,0.179,0.017,0.121,416.96,18801310,21538187,33.3,7.3,195.1,28.8,6.6,3.4,9.4,58822.0,273.9,53328.0,248.3,5486.0,25.5,8355,7782,594,59091,101421,44607,189207,903586,157078,249231,74.6,95.0,63.4,88.9,31.7,45.0,53.8,274608,1311430,193199,317316,82.1,95.0,69.2,93.9,43.6,58.0,65.9,42.9,49.5,25.7,False,189207,903586,157078,249231,74.6,95.0,63.4,88.9,31.7,45.0,53.8,274608,1311430,193199,317316,82.1,95.0,69.2,93.9,43.6,58.0,65.9,42.9,49.5,25.7,,0,44.21308264,50.42927933,20.56,2.38,6.52,5.36,5.4,2.16,2.84,74.35,77.23,82.06,62.03,20.63,4.03,0.71,0.38,26556,46443,20010,20577,37908,15418,0.000955372891878,0.0017600367198966,0.0007158448387508
Georgia,6326647,6639656,6971461,51469,56184,56589,75.6,77.4,77.2,0.489,0.056,0.173,0.126,0.022,0.134,0.483,0.061,0.18,0.127,0.022,0.127,191.59,9687653,10711908,34.9,7.6,234.3,33.0,7.0,3.6,11.2,25072.0,236.1,23832.0,224.5,1237.0,11.7,1920,4950,1095,34944,54047,31128,172562,1207790,125950,217166,61.4,92.3,51.1,80.8,28.2,40.1,48.6,258794,1811340,158505,284715,68.1,95.0,57.1,86.4,43.7,58.3,67.1,42.1,48.7,26.6,False,172562,1207790,125950,217166,61.4,92.3,51.1,80.8,28.2,40.1,48.6,258794,1811340,158505,284715,68.1,95.0,57.1,86.4,43.7,58.3,67.1,42.1,48.7,26.6,,0,45.73159285,53.05338613,26.13,1.61,10.16,6.98,5.9,0.74,1.95,68.43,74.87,80.63,56.09,24.45,6.15,1.07,1.49,14975,23784,12779,9981,17305,7209,0.0009317667776833,0.0016154918432831,0.0006729893497965
